,Method,Diff_Kd,Diff_Str,Diff_Td,Diff_Sub,Diff_Head,Diff_Body,Diff_Leg,Diff_Distance,Diff_Clinch,Diff_Ground,Diff_Ctrl,Fighter_1_W
377,U-DEC,0,24,-5,0,3,-2,23,24,-1,1,-416,0
378,U-DEC,0,-19,0,0,17,-1,3,3,-1,17,589,1
379,U-DEC,0,-25,1,-2,12,2,11,26,0,-1,-86,1
380,U-DEC,0,-21,-5,0,20,3,-2,1,1,19,232,1
381,U-DEC,0,-53,0,0,64,9,-20,50,3,0,54,1
382,U-DEC,1,-39,-1,0,-29,-8,-2,-28,-11,0,-128,0
383,U-DEC,-1,-33,0,0,-18,-19,4,-7,-22,-4,-447,0
384,S-DEC,0,-28,1,2,-4,-12,44,31,-1,-2,195,1
385,M-DEC,0,13,-2,0,-15,17,11,24,1,-12,-206,0
386,S-DEC,0,1,-2,0,-3,9,-7,-4,-3,6,159,1
387,U-DEC,-1,11,-2,0,5,8,-2,12,-2,1,-137,0
388,S-DEC,0,26,0,-3,23,-19,-30,-29,3,0,-30,1
389,U-DEC,0,29,-2,0,5,20,4,21,7,1,-262,0
390,U-DEC,0,-34,1,0,30,4,0,36,-2,0,-133,1
391,U-DEC,0,-17,-7,-2,23,-5,-1,-6,-7,30,488,1
392,U-DEC,0,-49,2,0,-20,-26,-3,-37,-12,0,74,0
393,U-DEC,0,-19,-1,0,4,11,4,9,5,5,119,1
394,U-DEC,0,-78,0,0,73,10,-5,79,-1,0,-28,1
395,S-DEC,0,-30,5,0,-46,26,-10,-27,-4,1,244,0
396,U-DEC,0,-24,2,2,-1,-9,-14,-22,0,-2,314,0
397,S-DEC,1,13,-1,0,8,-1,-20,-21,10,-2,234,1
398,U-DEC,0,-5,-11,0,0,-3,8,-2,2,5,709,1
399,U-DEC,0,2,-3,0,-5,2,1,-6,0,4,511,1
400,U-DEC,0,-46,-1,0,-17,-15,-14,-46,4,-4,-81,0
401,U-DEC,-1,3,0,0,-4,4,-3,0,-3,0,-37,1
402,U-DEC,0,-18,-1,0,4,-3,17,14,1,3,84,1
403,U-DEC,0,-35,-3,-1,32,5,-2,1,1,33,489,1
404,U-DEC,-2,2,-1,1,23,-11,-14,-13,0,11,159,1
405,S-DEC,0,-16,3,0,9,-4,-21,-22,2,4,204,0
406,U-DEC,1,-18,-1,0,-19,-19,20,-7,-11,0,-198,0
407,U-DEC,0,2,0,0,-25,-2,25,-5,3,0,141,1
408,U-DEC,0,-49,2,0,21,33,-5,34,15,0,-118,1
409,U-DEC,0,-6,3,2,11,4,-9,-9,2,13,-47,1
410,U-DEC,0,-8,1,0,39,-15,-16,4,2,2,163,1
411,U-DEC,0,-27,0,0,-19,-5,-3,-18,-9,0,3,0
412,U-DEC,0,-27,-6,-1,46,-1,-18,8,-6,25,953,1
413,U-DEC,-1,-61,-5,0,42,15,4,3,0,58,772,1
414,U-DEC,-1,-18,-4,0,-25,2,5,6,0,-24,-686,0
415,S-DEC,0,-16,2,0,9,11,-4,11,5,0,-52,1
416,S-DEC,0,31,-1,0,-48,-4,21,-37,6,0,208,1
417,U-DEC,-1,11,-1,1,-40,0,29,-1,-8,-2,-243,1
418,S-DEC,0,-7,0,0,-6,0,-1,-11,4,0,-385,0
419,U-DEC,0,-20,0,0,15,3,2,4,15,1,173,1
420,U-DEC,0,68,-1,0,73,-11,6,76,-8,0,-22,0
421,S-DEC,0,-66,2,2,5,29,32,66,0,0,-94,1
422,U-DEC,-2,-46,3,0,58,-15,3,36,6,4,-178,1
423,U-DEC,1,-22,0,0,-2,-15,-5,-22,0,0,2,0
424,S-DEC,0,-5,-1,0,-24,24,-5,8,-11,-2,5,0
425,U-DEC,0,12,-2,0,-23,-7,18,-16,1,3,370,1
426,S-DEC,0,-5,-2,0,-8,15,-2,23,0,-18,-89,1
427,U-DEC,0,-1,-1,0,-27,11,15,8,-9,0,-280,0
428,U-DEC,0,8,-4,1,-12,0,4,-13,3,2,612,1
429,U-DEC,0,-30,-2,0,27,-2,5,6,20,4,285,1
430,U-DEC,-1,-20,4,0,-2,6,16,23,-3,0,-220,1
431,U-DEC,0,-112,0,0,104,5,3,112,0,0,0,1
432,S-DEC,0,6,0,0,10,-5,-11,5,-11,0,-164,1
433,S-DEC,0,-109,2,0,-89,-2,-18,-113,4,0,64,0
434,U-DEC,0,-53,-2,0,18,9,26,53,0,0,53,1
435,U-DEC,-1,-7,-6,1,-6,2,-3,4,0,-11,-481,0
436,U-DEC,0,-28,-6,0,-29,-3,4,15,1,-44,-530,0
437,U-DEC,0,-48,3,0,-7,-16,-25,-46,2,-4,10,0
438,S-DEC,0,-16,0,0,-103,40,47,-17,1,0,31,0
439,S-DEC,0,16,-11,-1,9,11,-4,5,-8,19,-428,0
440,U-DEC,0,-55,1,1,-18,-31,-6,-63,4,4,-124,0
441,S-DEC,0,-7,-3,2,7,15,-15,8,-6,5,68,1
442,U-DEC,0,-71,1,0,24,27,20,69,2,0,193,1
443,U-DEC,0,-29,-1,3,15,-5,19,-10,0,39,549,1
444,U-DEC,0,20,-3,3,-6,1,-15,-23,0,3,338,1
445,U-DEC,-3,19,-1,0,31,-1,-11,20,0,-1,-92,0
446,U-DEC,0,-62,-1,0,9,39,14,60,4,-2,-1,1
447,U-DEC,0,-47,1,0,5,-54,2,-38,-10,1,-82,0
448,U-DEC,0,-11,-11,4,15,-5,1,-3,-4,18,673,1
449,U-DEC,0,-6,-1,0,-6,-4,4,14,-5,-15,-281,0
450,U-DEC,-1,-16,-2,-1,33,-14,-3,8,1,7,213,1
451,S-DEC,0,-12,8,-3,5,13,-6,1,1,10,-358,1
452,U-DEC,0,-20,-1,0,13,16,-9,20,0,0,173,1
453,U-DEC,0,-19,0,0,20,5,-6,-7,16,10,8,1
454,U-DEC,0,1,-2,0,-8,6,1,-1,0,0,-13,1
455,U-DEC,-1,-22,-4,0,9,7,6,21,-3,4,627,1
456,U-DEC,-1,22,-6,0,-11,1,-12,-33,1,10,339,1
457,U-DEC,0,-12,-6,-2,25,5,-18,7,1,4,297,1
458,U-DEC,0,-39,-7,-1,-42,4,-1,15,0,-54,-665,0
459,S-DEC,-1,-2,1,0,7,-7,2,3,-9,8,-133,1
460,U-DEC,0,-81,1,0,44,18,19,40,25,16,112,1
461,S-DEC,0,6,1,0,11,-7,-10,-5,-1,0,-20,1
462,U-DEC,-1,10,1,0,-3,-2,-5,-20,4,6,26,1
463,U-DEC,1,-29,-1,0,-34,-3,8,-27,-1,-1,4,0
464,U-DEC,0,-25,-7,-1,-25,-4,4,0,-2,-23,-714,0
465,U-DEC,0,-14,1,-7,6,12,-4,-10,-2,26,39,1
466,U-DEC,-2,63,1,-1,37,19,7,60,4,-1,-418,0
467,U-DEC,-1,-25,0,0,35,-10,0,18,0,7,75,1
468,U-DEC,0,10,4,0,-7,-7,4,-4,-3,-3,-177,1
469,U-DEC,0,-54,0,0,37,12,5,57,-3,0,-166,1
470,U-DEC,-1,-11,-1,0,2,-6,-7,6,-10,-7,342,0
471,U-DEC,0,9,1,0,43,-46,-6,-5,-4,0,-170,1
472,U-DEC,0,11,-4,0,11,8,-8,0,5,6,-412,0
473,U-DEC,1,16,-3,-1,-29,0,13,-14,0,-2,571,1
474,S-DEC,0,-2,0,0,-26,26,-2,-2,0,0,10,0
475,U-DEC,0,1,-4,-3,4,-5,0,1,-4,2,579,1
476,U-DEC,0,12,-4,0,0,-9,-3,-14,1,1,289,1
477,U-DEC,0,-8,-4,-1,-6,-2,0,-6,-1,-1,-279,0
478,U-DEC,0,5,-4,0,-5,-7,7,-8,3,0,262,1
479,U-DEC,0,18,-2,0,-5,-7,-6,-15,0,-3,340,1
480,U-DEC,-1,-7,-2,-1,17,8,-18,3,-1,5,108,1
481,U-DEC,0,-71,-2,-1,51,42,-22,35,17,19,329,1
482,U-DEC,0,-55,2,0,32,8,15,56,1,-2,-93,1
483,U-DEC,-2,-16,-1,0,1,18,-3,6,0,10,-38,1
484,S-DEC,0,-3,3,0,21,-2,-16,-4,1,6,203,1
485,U-DEC,0,-29,0,0,4,4,21,17,11,1,17,1
486,U-DEC,-1,-13,1,0,19,-21,15,3,1,9,94,1
487,U-DEC,0,-76,0,0,67,10,-1,76,0,0,0,1
488,U-DEC,0,-29,0,0,-1,12,18,27,2,0,-35,1
489,U-DEC,0,14,-1,0,-26,36,4,-9,14,9,135,0
490,U-DEC,-1,20,1,-1,-18,-1,-1,-33,6,7,49,1
491,U-DEC,0,-17,0,0,14,3,0,7,7,3,-1,1
492,U-DEC,-1,-18,-1,0,20,17,-19,18,-1,1,105,1
493,U-DEC,1,-38,0,-1,13,11,14,38,3,-3,-143,1
494,U-DEC,0,-9,-2,0,-24,8,7,-10,1,0,-55,0
495,U-DEC,1,-29,0,-1,24,-1,6,6,-2,25,308,1
496,U-DEC,0,-82,2,0,56,17,9,48,29,5,5,1
497,S-DEC,0,7,-4,1,3,-1,-9,-6,-1,0,708,1
498,U-DEC,0,-27,0,0,-72,34,11,-14,-16,3,-160,0
499,M-DEC,0,4,-3,1,-7,4,-1,-5,1,0,236,1
500,U-DEC,0,12,-5,0,-10,-2,0,-13,1,0,602,1
501,S-DEC,0,-5,0,0,0,4,1,-2,3,4,274,1
502,U-DEC,0,3,-8,0,-15,12,0,-1,-9,7,530,1
503,U-DEC,0,4,-5,0,8,-6,-6,-32,1,27,397,1
504,U-DEC,0,-22,-1,0,9,15,-2,7,15,0,-169,1
505,U-DEC,0,-54,3,2,-48,-4,-2,-23,-17,-14,-316,0
506,U-DEC,0,-29,0,0,40,-3,-8,32,-3,0,-90,1
507,U-DEC,0,-32,-1,0,-20,-13,1,-34,-6,8,345,0
508,U-DEC,0,-10,0,0,-4,-4,18,27,-10,-7,-82,1
509,U-DEC,0,-43,-2,0,34,16,-7,40,-3,6,241,1
510,S-DEC,0,6,1,1,-15,8,1,-14,9,-1,-19,1
511,U-DEC,0,-30,2,0,-8,-14,-8,-20,-14,4,405,0
512,U-DEC,0,-95,1,0,-31,-35,-29,-88,-19,12,431,0
513,U-DEC,0,-34,0,0,62,-2,-26,31,2,1,-38,1
514,U-DEC,0,6,0,0,11,-20,15,-2,7,1,20,0
515,S-DEC,0,-55,1,0,34,-1,22,52,2,1,-149,1
516,U-DEC,0,-7,-4,-2,-16,-2,11,6,2,-15,-546,0
517,U-DEC,0,4,0,0,2,7,-13,-4,0,0,0,1
518,U-DEC,0,1,0,0,-6,10,-3,11,0,-10,-96,0
519,S-DEC,0,0,4,0,-10,4,6,-9,2,7,202,0
520,S-DEC,0,-13,3,0,-1,-7,-5,-8,-11,6,116,0
521,U-DEC,0,-63,0,0,-52,3,-14,-45,-17,-1,-170,0
522,U-DEC,0,-126,2,3,87,0,39,76,-3,53,177,1
523,U-DEC,0,-14,-3,0,1,5,8,8,-2,8,379,1
524,U-DEC,0,-46,-3,0,9,18,19,32,10,4,421,1
525,U-DEC,-1,-37,-5,0,-25,-6,-6,-24,-6,-7,-301,0
526,U-DEC,0,14,-4,1,10,2,2,5,1,8,-446,0
527,U-DEC,-1,-41,-7,0,49,1,-9,-5,3,43,410,1
528,U-DEC,-2,-51,0,0,9,41,1,33,10,8,237,1
529,U-DEC,0,-67,-3,0,-62,-8,3,-31,-27,-9,-283,0
530,U-DEC,0,2,0,0,0,3,-1,-10,14,-2,-42,0
531,U-DEC,-4,-17,-3,2,15,3,-1,5,5,7,523,1
532,U-DEC,0,-79,-3,0,72,7,0,13,9,57,583,1
533,U-DEC,0,-8,-3,-1,9,-5,4,0,1,7,117,1
534,U-DEC,0,-4,1,0,42,-33,-5,7,-3,0,27,1
535,U-DEC,0,-5,-2,0,23,-8,-10,12,-5,-2,-108,1
536,U-DEC,0,-73,-2,-1,46,5,22,64,6,3,182,1
537,U-DEC,0,-33,2,0,-20,-3,-10,-29,-4,0,1,0
538,S-DEC,-1,-34,4,0,24,8,2,15,14,5,-308,1
539,U-DEC,0,-64,3,0,-48,5,-21,-58,0,-6,169,0
540,S-DEC,0,-1,-2,0,19,-10,-10,-5,4,0,-60,0
541,U-DEC,0,-23,-1,0,34,-5,-6,11,-9,21,146,1
542,S-DEC,0,-13,-2,0,14,18,-19,8,3,2,39,1
543,U-DEC,-1,8,0,0,3,-2,-9,-9,1,0,-149,1
544,S-DEC,0,-26,0,0,-40,-12,26,-16,-10,0,-54,0
545,U-DEC,0,-32,-1,0,47,2,-17,26,5,1,139,1
546,U-DEC,0,-15,4,0,-1,-1,17,8,6,1,15,1
547,U-DEC,-1,4,0,0,11,-3,-12,-2,-2,0,72,1
548,U-DEC,0,-25,-3,-2,22,1,2,-1,0,26,680,1
549,U-DEC,0,-39,0,0,39,29,-29,43,-4,0,-10,1
550,U-DEC,0,-48,1,0,16,12,20,54,-6,0,-100,1
551,S-DEC,0,-38,1,0,21,14,3,33,5,0,-6,1
552,U-DEC,0,39,0,0,46,8,-15,42,-3,0,-8,0
553,U-DEC,0,-21,2,0,1,24,-4,20,2,-1,-34,1
554,U-DEC,0,-52,-1,0,44,-5,13,32,10,10,47,1
555,U-DEC,0,-79,-4,0,-117,23,15,-63,-8,-8,-422,0
556,M-DEC,-1,15,-8,-1,23,-8,0,15,-2,2,-291,0
557,U-DEC,0,-28,5,1,2,24,2,18,13,-3,-383,1
558,M-DEC,0,7,-1,0,16,-8,-15,-14,4,3,-178,1
559,U-DEC,0,3,0,0,-13,0,10,-13,9,1,-39,1
560,U-DEC,1,-41,0,-1,-18,-10,-13,-41,-2,2,34,0
561,S-DEC,0,18,-2,1,51,0,-33,28,-6,-4,-502,0
562,M-DEC,1,23,2,0,25,-7,5,2,1,20,-30,0
563,S-DEC,0,11,0,0,-9,8,12,17,-6,0,-65,0
564,U-DEC,0,-28,0,0,-1,-20,-7,-22,-6,0,21,0
565,U-DEC,-1,-25,2,0,12,-3,16,43,-4,-14,-313,1
566,U-DEC,0,-17,-6,0,-36,10,9,-3,-3,-11,-514,0
567,U-DEC,0,-18,0,0,-24,5,1,-4,-1,-13,-106,0
568,U-DEC,0,-10,-3,0,3,0,7,-3,0,13,433,1
569,U-DEC,-1,-30,-1,0,-24,11,-17,-20,0,-10,-71,0
570,U-DEC,0,-16,-3,-1,-12,-20,16,1,-9,-8,-35,0
571,U-DEC,0,2,2,0,15,-8,-9,-10,10,-2,-52,1
572,S-DEC,-1,-36,2,0,-11,-7,-18,-32,-3,-1,93,0
573,U-DEC,0,-20,0,0,19,17,-16,19,1,0,19,1
574,M-DEC,2,-8,0,0,12,-10,-10,-20,-3,15,41,0
575,U-DEC,0,1,-1,0,-17,16,0,-3,-2,4,392,1
576,S-DEC,0,-7,0,0,1,-1,7,5,-2,4,44,1
577,U-DEC,0,-18,0,2,-33,18,-3,-23,-2,7,105,0
578,U-DEC,0,-12,-3,-3,32,-18,-2,10,-5,7,497,1
579,U-DEC,0,-12,1,1,-34,10,12,-3,0,-9,-80,0
580,U-DEC,0,-22,-1,-3,23,-4,3,-14,17,19,201,1
581,S-DEC,0,31,-1,0,3,27,1,27,4,0,-292,0
582,U-DEC,0,-27,0,0,2,9,16,25,2,0,111,1
583,S-DEC,0,-15,-1,1,-5,14,6,10,5,0,4,1
584,U-DEC,0,-38,4,0,2,4,32,27,10,1,-379,1
585,U-DEC,0,-1,-4,0,-4,-10,15,2,-6,5,186,1
586,U-DEC,0,-24,1,0,-17,-3,-4,-23,-1,0,254,0
587,U-DEC,0,-16,-4,0,-14,3,-5,-11,-3,-2,-85,0
588,U-DEC,0,-11,2,0,28,0,-17,-13,6,18,364,1
589,S-DEC,0,43,-1,0,4,-16,-31,-44,-13,14,288,1
590,U-DEC,0,-3,-9,-2,11,-4,-4,-16,3,16,519,1
591,U-DEC,0,8,1,0,4,12,-24,-3,-5,0,-1,1
592,U-DEC,0,-18,2,0,-17,1,-2,9,-5,-22,-302,0
593,M-DEC,0,-5,1,0,5,-3,3,11,-1,-5,-189,1
594,S-DEC,0,36,0,0,-22,5,-19,-35,-1,0,2,1
595,U-DEC,0,-5,-2,0,6,-2,1,-2,8,-1,527,1
596,U-DEC,0,-17,0,0,62,-12,-33,17,0,0,0,1
597,U-DEC,0,-34,-3,0,-26,-9,1,-36,2,0,1,0
598,S-DEC,0,35,-2,0,24,9,2,18,4,13,-356,0
599,U-DEC,-1,-23,-2,0,-7,-10,-6,-14,4,-13,-87,0
600,U-DEC,0,-8,5,-3,6,-5,-9,-12,0,4,316,0
601,S-DEC,0,2,2,-2,5,-3,-4,-7,5,0,-318,1
602,U-DEC,0,1,-2,0,2,7,-10,-12,-2,13,475,1
603,U-DEC,0,-113,1,0,100,15,-2,117,-2,-2,-109,1
604,U-DEC,0,-47,0,0,-29,-2,-16,-34,-13,0,-13,0
605,S-DEC,0,-21,-1,0,-13,0,-8,-21,0,0,97,0
606,U-DEC,0,23,-8,-1,-5,-9,-9,-26,4,-1,165,1
607,U-DEC,0,-15,-3,1,10,-3,8,-10,-3,28,320,1
608,U-DEC,0,-16,-2,-1,14,0,2,4,0,12,375,1
609,U-DEC,0,-36,2,-1,21,-2,17,39,-3,0,-362,1
610,U-DEC,1,-26,-2,1,-10,-10,-6,-9,2,-19,-444,0
611,U-DEC,0,-8,-3,0,-6,2,-4,-9,0,1,-730,0
612,U-DEC,0,-38,1,1,27,7,4,36,2,0,-183,1
613,S-DEC,0,-48,2,0,21,14,13,45,3,0,-134,1
614,U-DEC,0,-18,-3,0,-14,10,-14,-19,4,-3,-133,0
615,U-DEC,0,-20,-1,0,4,13,3,15,3,2,-127,1
616,U-DEC,0,-9,-3,0,-8,-1,0,2,-1,-10,-846,0
617,U-DEC,0,-38,-2,-1,22,17,-1,7,16,15,81,1
618,U-DEC,0,-11,4,-1,-11,4,-4,-10,-1,0,208,0
619,M-DEC,0,-13,-1,-2,41,-21,-7,-3,-4,20,195,1
620,S-DEC,0,13,-8,0,-5,-3,-5,-36,5,18,175,1
621,U-DEC,0,-47,0,0,29,10,8,47,0,0,0,1
622,U-DEC,0,-23,-4,-1,22,-4,5,23,-2,2,-75,1
623,S-DEC,1,-21,-1,-1,-16,-5,0,-26,-2,7,302,0
624,S-DEC,0,9,1,0,6,1,2,9,-5,5,-49,0
625,U-DEC,0,-35,-4,0,-9,38,6,4,26,5,-304,1
626,U-DEC,0,-3,-1,0,41,7,-45,-3,3,3,107,1
627,U-DEC,1,40,0,0,42,-10,8,27,9,4,1,0
628,S-DEC,0,-16,2,1,14,5,-3,14,2,0,-99,1
629,U-DEC,-1,-7,0,-1,8,1,-2,-3,0,10,518,1
630,U-DEC,0,-54,3,-1,10,27,17,54,1,-1,-94,1
631,U-DEC,-2,-73,3,0,-90,15,2,-67,-5,-1,77,0
632,U-DEC,0,-88,-3,0,73,6,9,79,2,7,233,1
633,U-DEC,0,-17,0,0,-1,10,8,19,-2,0,39,1
634,U-DEC,0,-6,-8,-2,-13,7,0,-4,2,-4,-699,0
635,S-DEC,1,-11,-3,-1,10,11,-10,-11,3,19,348,1
636,S-DEC,0,-10,4,0,34,-8,-16,11,-1,0,-138,1
637,S-DEC,0,-20,2,0,15,2,3,1,2,17,166,1
638,S-DEC,0,9,2,0,-12,5,-2,-8,-1,0,20,1
639,U-DEC,0,-26,0,0,15,4,7,8,2,16,311,1
640,U-DEC,0,13,-11,-1,-2,-3,-8,-16,-4,7,1198,1
641,U-DEC,-1,26,-2,1,-9,-6,-11,-13,-14,1,156,1
642,U-DEC,0,-68,2,0,-63,3,-8,-69,1,0,169,0
643,U-DEC,0,-8,-1,0,-5,0,-3,-9,1,0,-440,0
644,S-DEC,0,-12,0,0,-3,11,4,10,2,0,-61,1
645,S-DEC,0,9,-6,1,-12,10,11,8,0,1,-75,0
646,U-DEC,0,-3,4,1,-3,-1,7,3,2,-2,-240,1
647,U-DEC,0,-11,-8,0,15,-1,-3,-6,0,17,715,1
648,U-DEC,0,-44,-1,1,-38,-4,-2,-22,-3,-19,-71,0
649,U-DEC,0,-17,-1,0,-15,3,-5,-21,-1,5,-258,0
650,S-DEC,0,2,0,0,14,-12,0,2,0,0,-65,0
651,U-DEC,0,-23,-1,0,-31,12,-4,-19,-3,-1,119,0
652,U-DEC,0,-7,-5,-1,0,5,2,-15,5,17,908,1
653,U-DEC,0,16,-4,-2,16,5,-5,11,2,3,-529,0
654,U-DEC,0,-21,1,0,-15,-8,2,-11,-8,-2,-93,0
655,U-DEC,0,5,0,1,12,-3,-14,-13,1,7,-180,1
656,S-DEC,0,6,-2,-1,10,-11,7,8,-1,-1,-113,0
657,U-DEC,0,-43,1,0,9,24,10,13,29,1,73,1
658,U-DEC,0,-47,0,0,28,23,-4,51,-4,0,-21,1
659,S-DEC,0,10,-4,0,-6,5,11,9,6,-5,-342,0
660,U-DEC,0,7,-2,-2,8,4,-5,10,3,-6,-568,0
661,U-DEC,0,-29,-3,0,35,12,-18,8,6,15,425,1
662,U-DEC,0,13,0,0,2,10,1,6,7,0,-152,0
663,S-DEC,0,-15,-2,0,10,14,-9,13,2,0,101,1
664,U-DEC,0,8,-3,0,1,4,3,13,-2,-3,-30,0
665,U-DEC,0,-12,-5,0,-26,7,7,-9,0,-3,-300,0
666,U-DEC,0,-12,-4,0,7,6,-1,-2,2,12,799,1
667,U-DEC,0,-60,-2,0,-19,-18,-23,-60,1,-1,-269,0
668,U-DEC,0,4,-2,0,-19,18,5,16,0,-12,-255,0
669,M-DEC,0,22,-3,1,-9,-11,-2,3,-24,-1,488,1
670,U-DEC,0,-29,1,0,-13,15,27,28,1,0,-1,1
671,U-DEC,0,-32,0,-1,23,10,-1,16,10,6,-228,1
672,U-DEC,0,-3,0,0,-21,13,5,-3,0,0,0,0
673,U-DEC,0,15,-3,0,-42,-1,28,-18,0,3,530,1
674,U-DEC,2,9,0,0,-6,-1,-2,-4,0,-5,-28,1
675,U-DEC,0,-40,3,0,-4,-27,-9,-5,-17,-18,209,0
676,U-DEC,-1,-30,-4,-1,-26,-1,-3,-13,-5,-12,-754,0
677,M-DEC,0,26,-4,0,-26,-7,7,-6,-20,0,659,1
678,U-DEC,0,-43,-1,0,18,14,11,29,5,9,357,1
679,U-DEC,0,2,3,-1,-1,5,-2,-7,7,2,-116,0
680,U-DEC,0,-11,-5,2,10,4,-3,2,8,1,339,1
681,U-DEC,0,-26,-6,-1,18,-1,9,11,5,10,482,1
682,U-DEC,0,-60,-1,0,83,3,-26,49,11,0,162,1
683,U-DEC,-1,-10,0,1,-8,14,-16,-2,-8,0,-62,0
684,U-DEC,-2,-28,0,-1,11,7,10,11,3,14,-150,1
685,U-DEC,0,9,-3,-1,21,-7,-5,15,-8,2,-230,0
686,U-DEC,0,-25,2,0,-9,18,16,23,1,1,-1,1
687,S-DEC,0,-8,-5,0,-3,0,-5,-6,2,-4,-385,0
688,U-DEC,0,-19,-3,0,11,5,3,-4,8,15,671,1
689,U-DEC,0,1,-7,0,-3,2,2,2,2,-3,-653,0
690,U-DEC,0,-18,1,1,13,1,4,5,11,2,-50,1
691,U-DEC,0,-47,-4,0,30,4,13,14,2,31,664,1
692,U-DEC,0,-71,0,0,-13,-18,-40,-69,-3,1,284,0
693,U-DEC,0,-34,-10,0,24,6,4,30,-2,6,502,1
694,U-DEC,0,-20,1,0,4,4,12,17,3,0,-383,1
695,U-DEC,0,-53,0,0,-4,-16,-33,-51,-2,0,-5,0
696,S-DEC,0,-36,-1,2,-46,8,2,-37,5,-4,-190,0
697,U-DEC,0,-9,-1,0,18,-16,7,6,1,2,191,1
698,U-DEC,0,-12,-3,1,12,-2,2,2,-3,13,786,1
699,U-DEC,0,-40,-4,-1,-39,-3,2,-40,0,0,-147,0
700,S-DEC,0,-27,0,0,33,0,-6,25,2,0,0,1
701,U-DEC,0,-9,0,0,13,-3,-1,4,0,5,30,1
702,U-DEC,0,-22,0,0,2,6,14,26,-4,0,-2,1
703,U-DEC,0,-4,-1,1,10,-3,-3,-13,-2,19,145,1
704,U-DEC,0,2,-4,0,-1,-1,0,-2,-5,5,360,1
705,U-DEC,0,9,-2,0,-29,24,-4,-7,-3,1,-1,1
706,U-DEC,0,-312,0,0,175,101,36,310,2,0,22,1
707,U-DEC,0,-11,-1,0,17,-7,1,11,-3,3,-74,1
708,U-DEC,0,-30,1,-1,-10,-9,-11,-21,0,-9,160,0
709,S-DEC,0,9,0,0,-4,8,-13,-10,1,0,-72,1
710,S-DEC,0,-9,-3,0,-12,-7,10,-6,1,-4,-142,0
711,U-DEC,0,-12,0,0,-31,-2,21,-12,0,0,-4,0
712,U-DEC,-1,-31,0,1,-34,-2,5,-33,1,1,-159,0
713,U-DEC,0,-86,0,0,53,33,0,86,0,0,-226,1
714,U-DEC,0,2,0,0,9,10,-21,2,-4,0,126,1
715,U-DEC,0,11,-2,-1,1,11,-23,-15,2,2,45,1
716,U-DEC,0,-19,1,0,4,5,10,22,1,-4,122,1
717,U-DEC,0,-43,2,0,-14,-17,-12,-27,-22,6,259,0
718,U-DEC,0,25,-12,0,-19,-6,0,-25,2,-2,541,1
719,U-DEC,0,-18,-1,0,-14,-2,-2,0,-1,-17,-706,0
720,U-DEC,-1,-80,1,0,42,41,-3,20,56,4,137,1
721,U-DEC,0,-3,-5,0,5,-1,-1,-11,1,13,537,1
722,U-DEC,0,-22,-3,-3,-12,-4,-6,-2,1,-21,-694,0
723,U-DEC,0,-19,1,0,11,1,7,19,-1,1,-10,1
724,U-DEC,0,-22,-7,0,23,-2,1,16,3,3,289,1
725,U-DEC,-1,-42,2,-1,-57,0,15,-38,4,-8,-319,0
726,S-DEC,0,-22,-2,-3,16,10,-4,19,0,3,421,1
727,U-DEC,0,-43,0,0,-30,-5,-8,-42,-1,0,-2,0
728,U-DEC,0,-12,-2,-1,-19,19,-12,-16,5,-1,-239,0
729,U-DEC,0,-47,3,1,-30,-15,-2,-23,-13,-11,2,0
730,U-DEC,-1,-52,-2,0,-66,9,5,-34,-4,-14,-231,0
731,U-DEC,0,-26,-4,0,24,3,-1,27,-1,0,103,1
732,U-DEC,0,-64,1,2,-42,-18,-4,-59,-4,-1,149,0
733,U-DEC,0,-9,1,0,14,-6,1,9,0,0,2,1
734,U-DEC,0,33,0,0,20,12,1,31,2,0,-47,0
735,U-DEC,0,-68,1,-2,37,18,13,60,8,0,-56,1
736,U-DEC,0,-32,-2,-1,42,-1,-9,20,1,11,399,1
737,S-DEC,0,6,-5,0,11,-15,10,15,-5,-4,-755,0
738,U-DEC,0,7,-2,-3,-5,-4,2,-3,-11,7,303,1
739,U-DEC,0,10,2,2,-9,15,4,5,6,-1,137,0
740,U-DEC,0,0,-4,-2,-12,5,7,8,8,-16,-561,0
741,S-DEC,0,27,-6,0,24,8,-5,42,-1,-14,-593,0
742,U-DEC,0,-52,-3,0,65,-15,2,28,16,8,142,1
743,U-DEC,0,-1,0,0,4,4,-7,0,1,0,-25,1
744,U-DEC,0,34,0,0,0,0,-34,-35,1,0,0,1
745,U-DEC,0,-71,-2,-1,45,12,14,59,7,5,108,1
746,U-DEC,0,-38,2,0,-25,-9,-4,-28,-13,3,387,0
747,U-DEC,0,-19,-7,-1,9,9,1,6,0,13,578,1
748,U-DEC,0,43,0,-1,0,26,17,40,3,0,-40,0
749,U-DEC,0,-58,0,0,69,-3,-8,58,0,0,0,1
750,U-DEC,-1,-16,0,0,42,-9,-17,13,-3,6,100,1
751,U-DEC,0,13,-2,0,-4,-16,33,16,-2,-1,-90,0
752,S-DEC,-1,3,0,0,5,2,-10,-10,4,3,140,1
753,U-DEC,-2,-65,-3,0,29,8,28,56,5,4,57,1
754,U-DEC,0,-30,2,0,-43,-7,20,-30,0,0,44,0
755,U-DEC,0,-9,0,0,-20,-1,12,-13,4,0,2,0
756,S-DEC,-1,15,5,0,30,-6,-9,2,4,9,208,0
