,Fighter,Head,Body,Leg,Distance,Clinch,Ground,Event
2944,Justine Kish Ji Yeon Kim,43 of 132  60 of 201,22 of 31  5 of 11,31 of 40  3 of 3,93 of 197  66 of 210,3 of 6  2 of 5,0 of 0  0 of 0,UFC Fight Night: Jacare vs. Brunson 2
2945,Vinc Pichel Joaquim Silva,24 of 135  30 of 79,15 of 21  10 of 15,21 of 30  5 of 6,50 of 174  44 of 97,10 of 12  1 of 3,0 of 0  0 of 0,UFC Fight Night: Jacare vs. Brunson 2
2946,Niko Price George Sullivan,13 of 34  15 of 53,7 of 9  3 of 4,4 of 4  3 of 4,11 of 27  7 of 37,7 of 13  4 of 5,6 of 7  10 of 19,UFC Fight Night: Jacare vs. Brunson 2
2947,Austin Arnett Cory Sandhagen,29 of 84  47 of 104,3 of 6  23 of 32,0 of 0  10 of 11,31 of 84  45 of 90,1 of 6  20 of 33,0 of 0  15 of 24,UFC Fight Night: Jacare vs. Brunson 2
2948,Stipe Miocic Francis Ngannou,45 of 67  17 of 106,9 of 11  4 of 7,16 of 17  0 of 0,37 of 52  19 of 105,5 of 6  2 of 8,28 of 37  0 of 0,UFC 220: Miocic vs. Ngannou
2949,Daniel Cormier Volkan Oezdemir,30 of 59  23 of 63,1 of 1  11 of 15,1 of 1  4 of 4,24 of 46  33 of 70,3 of 8  5 of 12,5 of 7  0 of 0,UFC 220: Miocic vs. Ngannou
2950,Calvin Kattar Shane Burgos,73 of 174  46 of 126,5 of 10  25 of 38,7 of 10  18 of 22,79 of 182  86 of 182,1 of 2  3 of 4,5 of 10  0 of 0,UFC 220: Miocic vs. Ngannou
2951,Gian Villante Francimar Barroso,57 of 184  38 of 86,11 of 17  18 of 24,6 of 8  18 of 18,74 of 208  74 of 127,0 of 1  0 of 1,0 of 0  0 of 0,UFC 220: Miocic vs. Ngannou
2952,Thomas Almeida Rob Font,11 of 66  35 of 120,2 of 8  4 of 9,11 of 16  2 of 3,24 of 89  26 of 111,0 of 1  11 of 15,0 of 0  4 of 6,UFC 220: Miocic vs. Ngannou
2953,Kyle Bochniak Brandon Davis,29 of 117  19 of 87,4 of 15  7 of 11,0 of 0  12 of 14,26 of 118  35 of 106,7 of 14  3 of 6,0 of 0  0 of 0,UFC 220: Miocic vs. Ngannou
2954,Sabah Homasi Abdul Razak Alhassan,3 of 19  11 of 29,5 of 6  0 of 1,0 of 0  2 of 3,4 of 20  11 of 28,4 of 5  2 of 5,0 of 0  0 of 0,UFC 220: Miocic vs. Ngannou
2955,Dustin Ortiz Alexandre Pantoja,19 of 59  13 of 41,8 of 10  4 of 5,9 of 11  2 of 3,21 of 60  15 of 44,6 of 8  1 of 2,9 of 12  3 of 3,UFC 220: Miocic vs. Ngannou
2956,Dan Ige Julio Arce,15 of 78  60 of 184,6 of 17  11 of 16,14 of 18  1 of 1,33 of 102  61 of 184,2 of 11  8 of 14,0 of 0  3 of 3,UFC 220: Miocic vs. Ngannou
2957,Matt Bessette Enrique Barzola,27 of 113  25 of 83,15 of 31  13 of 17,1 of 2  17 of 22,41 of 143  43 of 98,2 of 3  0 of 0,0 of 0  12 of 24,UFC 220: Miocic vs. Ngannou
2958,Islam Makhachev Gleison Tibau,2 of 5  1 of 2,1 of 1  0 of 1,0 of 0  1 of 1,2 of 4  2 of 4,0 of 0  0 of 0,1 of 2  0 of 0,UFC 220: Miocic vs. Ngannou
2959,Jeremy Stephens Dooho Choi,32 of 111  24 of 51,6 of 6  3 of 7,11 of 16  17 of 21,42 of 124  42 of 76,3 of 3  2 of 3,4 of 6  0 of 0,UFC Fight Night: Stephens vs. Choi
2960,Paige VanZant Jessica-Rose Clark,29 of 75  36 of 71,18 of 32  12 of 19,7 of 11  7 of 8,40 of 100  32 of 67,2 of 3  7 of 11,12 of 15  16 of 20,UFC Fight Night: Stephens vs. Choi
2961,Kamaru Usman Emil Meek,29 of 44  20 of 54,9 of 10  7 of 10,12 of 12  3 of 3,8 of 15  17 of 48,8 of 8  4 of 4,34 of 43  9 of 15,UFC Fight Night: Stephens vs. Choi
2962,Darren Elkins Michael Johnson,13 of 57  29 of 74,5 of 7  9 of 13,0 of 0  7 of 11,17 of 60  45 of 97,0 of 2  0 of 1,1 of 2  0 of 0,UFC Fight Night: Stephens vs. Choi
2963,James Krause Alex White,30 of 60  42 of 109,3 of 4  14 of 17,2 of 3  0 of 1,18 of 43  29 of 91,1 of 2  12 of 15,16 of 22  15 of 21,UFC Fight Night: Stephens vs. Choi
2964,Matt Frevola Marco Polo Reyes,5 of 26  17 of 38,4 of 4  1 of 1,0 of 0  0 of 0,8 of 29  17 of 36,1 of 1  0 of 2,0 of 0  1 of 1,UFC Fight Night: Stephens vs. Choi
2965,Talita Bernardo Irene Aldana,31 of 69  57 of 153,3 of 4  10 of 13,12 of 14  3 of 5,36 of 72  46 of 140,2 of 3  3 of 5,8 of 12  21 of 26,UFC Fight Night: Stephens vs. Choi
2966,Kyung Ho Kang Guido Cannetti,3 of 9  12 of 29,0 of 2  4 of 7,0 of 0  3 of 3,1 of 8  9 of 29,1 of 1  5 of 5,1 of 2  5 of 5,UFC Fight Night: Stephens vs. Choi
2967,Kalindra Faria Jessica Eye,28 of 58  20 of 42,6 of 8  2 of 4,4 of 4  3 of 3,18 of 48  15 of 35,7 of 8  3 of 3,13 of 14  7 of 11,UFC Fight Night: Stephens vs. Choi
2968,Danielle Taylor JJ Aldrich,21 of 107  47 of 137,8 of 17  5 of 10,9 of 12  2 of 3,35 of 129  48 of 142,2 of 6  6 of 7,1 of 1  0 of 1,UFC Fight Night: Stephens vs. Choi
2969,Mads Burnell Mike Santiago,20 of 34  34 of 56,0 of 0  11 of 14,0 of 0  6 of 9,5 of 15  13 of 29,1 of 1  22 of 28,14 of 18  16 of 22,UFC Fight Night: Stephens vs. Choi
2970,Cristiane Justino Holly Holm,70 of 164  33 of 203,29 of 37  8 of 14,19 of 22  3 of 10,101 of 205  43 of 225,17 of 18  1 of 2,0 of 0  0 of 0,UFC 219: Cyborg vs. Holm
2971,Khabib Nurmagomedov Edson Barboza,77 of 162  6 of 47,8 of 11  11 of 19,4 of 4  8 of 10,32 of 96  23 of 74,2 of 3  2 of 2,55 of 78  0 of 0,UFC 219: Cyborg vs. Holm
2972,Dan Hooker Marc Diakiese,3 of 16  9 of 34,3 of 10  4 of 9,11 of 14  11 of 26,17 of 40  23 of 68,0 of 0  1 of 1,0 of 0  0 of 0,UFC 219: Cyborg vs. Holm
2973,Cynthia Calvillo Carla Esparza,35 of 106  27 of 114,3 of 4  3 of 5,0 of 2  18 of 19,23 of 95  41 of 125,4 of 4  3 of 7,11 of 13  4 of 6,UFC 219: Cyborg vs. Holm
2974,Carlos Condit Neil Magny,10 of 69  14 of 83,10 of 21  13 of 21,17 of 22  5 of 10,32 of 103  24 of 102,5 of 9  6 of 9,0 of 0  2 of 3,UFC 219: Cyborg vs. Holm
2975,Khalil Rountree Jr. Michal Oleksiejczuk,37 of 153  40 of 89,12 of 21  29 of 33,3 of 6  7 of 8,44 of 171  67 of 120,8 of 9  3 of 4,0 of 0  6 of 6,UFC 219: Cyborg vs. Holm
2976,Khalil Rountree Jr. Michal Oleksiejczuk,37 of 153  40 of 89,12 of 21  29 of 33,3 of 6  7 of 8,44 of 171  67 of 120,8 of 9  3 of 4,0 of 0  6 of 6,UFC 219: Cyborg vs. Holm
2977,Myles Jury Ricky Glenn,27 of 56  6 of 53,14 of 24  4 of 21,0 of 3  4 of 9,29 of 67  10 of 76,7 of 8  2 of 5,5 of 8  2 of 2,UFC 219: Cyborg vs. Holm
2978,Marvin Vettori Omari Akhmedov,56 of 149  39 of 152,8 of 10  6 of 11,2 of 2  6 of 11,55 of 139  50 of 171,7 of 15  1 of 3,4 of 7  0 of 0,UFC 219: Cyborg vs. Holm
2979,Marvin Vettori Omari Akhmedov,56 of 149  39 of 152,8 of 10  6 of 11,2 of 2  6 of 11,55 of 139  50 of 171,7 of 15  1 of 3,4 of 7  0 of 0,UFC 219: Cyborg vs. Holm
2980,Louis Smolka Matheus Nicolau,20 of 116  47 of 114,23 of 36  38 of 56,6 of 7  2 of 2,49 of 159  72 of 150,0 of 0  0 of 0,0 of 0  15 of 22,UFC 219: Cyborg vs. Holm
2981,Tim Elliott Mark De La Rosa,10 of 18  0 of 2,1 of 2  2 of 2,1 of 4  0 of 0,1 of 6  1 of 3,0 of 0  0 of 0,11 of 18  1 of 1,UFC 219: Cyborg vs. Holm
2982,Robbie Lawler Rafael Dos Anjos,53 of 171  100 of 199,32 of 40  48 of 64,1 of 1  24 of 28,48 of 159  104 of 203,38 of 53  58 of 78,0 of 0  10 of 10,UFC Fight Night: Lawler vs. Dos Anjos
2983,Ricardo Lamas Josh Emmett,3 of 18  6 of 32,4 of 5  1 of 2,10 of 14  3 of 4,17 of 37  10 of 38,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Lawler vs. Dos Anjos
2984,Santiago Ponzinibbio Mike Perry,56 of 177  34 of 112,8 of 8  12 of 18,14 of 15  5 of 6,67 of 188  51 of 135,1 of 1  0 of 1,10 of 11  0 of 0,UFC Fight Night: Lawler vs. Dos Anjos
2985,Glover Teixeira Misha Cirkunov,12 of 19  15 of 36,1 of 2  4 of 5,0 of 0  2 of 2,2 of 10  14 of 34,0 of 0  7 of 9,11 of 11  0 of 0,UFC Fight Night: Lawler vs. Dos Anjos
2986,Jared Cannonier Jan Blachowicz,17 of 68  35 of 108,1 of 8  6 of 9,8 of 11  9 of 10,23 of 79  47 of 120,0 of 2  0 of 1,3 of 6  3 of 6,UFC Fight Night: Lawler vs. Dos Anjos
2987,Julian Marquez Darren Stewart,29 of 60  28 of 53,3 of 4  3 of 3,0 of 0  2 of 2,8 of 30  16 of 34,17 of 24  17 of 23,7 of 10  0 of 1,UFC Fight Night: Lawler vs. Dos Anjos
2988,Chad Laprise Galore Bofando,20 of 38  13 of 26,0 of 0  0 of 0,0 of 1  0 of 0,0 of 5  3 of 7,0 of 0  0 of 0,20 of 34  10 of 19,UFC Fight Night: Lawler vs. Dos Anjos
2989,Nordine Taleb Danny Roberts,3 of 3  0 of 1,1 of 1  0 of 0,1 of 1  1 of 3,4 of 4  1 of 4,0 of 0  0 of 0,1 of 1  0 of 0,UFC Fight Night: Lawler vs. Dos Anjos
2990,John Makdessi Abel Trujillo,17 of 53  23 of 82,13 of 24  3 of 6,17 of 27  3 of 3,47 of 102  28 of 88,0 of 2  1 of 3,0 of 0  0 of 0,UFC Fight Night: Lawler vs. Dos Anjos
2991,Alessio Di Chirico Oluwale Bamgbose,4 of 30  5 of 11,1 of 4  1 of 2,1 of 3  4 of 4,3 of 32  9 of 16,3 of 5  1 of 1,0 of 0  0 of 0,UFC Fight Night: Lawler vs. Dos Anjos
2992,Jordan Mein Erick Silva,44 of 116  5 of 38,3 of 6  4 of 6,4 of 5  4 of 4,21 of 62  12 of 47,7 of 12  1 of 1,23 of 53  0 of 0,UFC Fight Night: Lawler vs. Dos Anjos
2993,Cub Swanson Brian Ortega,24 of 57  12 of 56,20 of 22  9 of 11,16 of 18  3 of 3,56 of 92  20 of 66,4 of 5  4 of 4,0 of 0  0 of 0,UFC Fight Night: Swanson vs. Ortega
2994,Jason Knight Gabriel Benitez,22 of 160  61 of 163,10 of 15  14 of 18,4 of 6  10 of 11,33 of 175  81 of 185,3 of 6  0 of 0,0 of 0  4 of 7,UFC Fight Night: Swanson vs. Ortega
2995,Marlon Moraes Aljamain Sterling,6 of 13  1 of 7,1 of 1  1 of 1,0 of 0  1 of 2,5 of 12  3 of 8,0 of 0  0 of 0,2 of 2  0 of 2,UFC Fight Night: Swanson vs. Ortega
2996,Scott Holtzman Darrell Horcher,28 of 60  28 of 54,20 of 21  5 of 6,1 of 1  3 of 3,12 of 37  13 of 32,13 of 15  15 of 21,24 of 30  8 of 10,UFC Fight Night: Swanson vs. Ortega
2997,Eryk Anders Markus Perez,62 of 117  12 of 39,16 of 22  14 of 17,1 of 2  4 of 4,26 of 57  15 of 39,24 of 39  11 of 14,29 of 45  4 of 7,UFC Fight Night: Swanson vs. Ortega
2998,Albert Morales Benito Lopez,45 of 154  55 of 144,14 of 21  15 of 31,19 of 23  8 of 12,73 of 186  74 of 180,5 of 12  4 of 7,0 of 0  0 of 0,UFC Fight Night: Swanson vs. Ortega
2999,Alexis Davis Liz Carmouche,10 of 44  29 of 46,6 of 10  13 of 15,7 of 9  7 of 10,7 of 39  20 of 40,9 of 15  12 of 13,7 of 9  17 of 18,UFC Fight Night: Swanson vs. Ortega
3000,Luke Sanders Andre Soukhamthath,19 of 61  16 of 44,4 of 6  3 of 4,0 of 0  1 of 1,21 of 61  10 of 37,2 of 6  3 of 3,0 of 0  7 of 9,UFC Fight Night: Swanson vs. Ortega
3001,Carls John De Tomas Alex Perez,7 of 27  13 of 25,0 of 0  5 of 8,1 of 1  6 of 7,7 of 27  9 of 21,1 of 1  7 of 8,0 of 0  8 of 11,UFC Fight Night: Swanson vs. Ortega
3002,Frankie Saenz Merab Dvalishvili,22 of 63  34 of 98,31 of 37  10 of 16,5 of 6  3 of 4,22 of 59  24 of 84,34 of 45  21 of 32,2 of 2  2 of 2,UFC Fight Night: Swanson vs. Ortega
3003,Alejandro Perez Iuri Alcantara,16 of 72  9 of 63,4 of 4  15 of 21,15 of 21  14 of 15,29 of 90  38 of 98,6 of 7  0 of 1,0 of 0  0 of 0,UFC Fight Night: Swanson vs. Ortega
3004,Chris Gruetzemacher Davi Ramos,25 of 69  49 of 117,10 of 14  4 of 5,11 of 14  2 of 2,39 of 89  44 of 105,4 of 4  9 of 13,3 of 4  2 of 6,UFC Fight Night: Swanson vs. Ortega
3005,Antonio Braga Neto Trevin Giles,10 of 60  62 of 104,5 of 8  6 of 7,3 of 5  2 of 2,16 of 71  68 of 111,0 of 0  2 of 2,2 of 2  0 of 0,UFC Fight Night: Swanson vs. Ortega
3006,Max Holloway Jose Aldo,135 of 349  65 of 133,36 of 45  13 of 21,3 of 3  9 of 9,144 of 356  84 of 159,16 of 18  3 of 4,14 of 23  0 of 0,UFC 218: Holloway vs. Aldo 2
3007,Alistair Overeem Francis Ngannou,1 of 4  4 of 12,0 of 0  0 of 0,0 of 0  2 of 2,1 of 4  2 of 10,0 of 0  3 of 3,0 of 0  1 of 1,UFC 218: Holloway vs. Aldo 2
3008,Henry Cejudo Sergio Pettis,18 of 61  19 of 91,10 of 13  3 of 4,8 of 9  3 of 3,16 of 56  23 of 93,3 of 3  1 of 1,17 of 24  1 of 4,UFC 218: Holloway vs. Aldo 2
3009,Eddie Alvarez Justin Gaethje,113 of 299  69 of 180,36 of 49  16 of 17,6 of 8  37 of 40,128 of 325  106 of 218,24 of 28  15 of 16,3 of 3  1 of 3,UFC 218: Holloway vs. Aldo 2
3010,Tecia Torres Michelle Waterson-Gomez,72 of 143  29 of 106,21 of 28  25 of 28,2 of 2  2 of 4,55 of 124  34 of 111,23 of 31  19 of 23,17 of 18  3 of 4,UFC 218: Holloway vs. Aldo 2
3011,Charles Oliveira Paul Felder,3 of 8  26 of 40,0 of 1  4 of 5,3 of 4  1 of 1,3 of 5  1 of 4,1 of 2  4 of 4,2 of 6  26 of 38,UFC 218: Holloway vs. Aldo 2
3012,Alex Oliveira Yancy Medeiros,61 of 117  56 of 127,29 of 41  13 of 17,3 of 3  6 of 7,69 of 127  51 of 119,23 of 31  13 of 19,1 of 3  11 of 13,UFC 218: Holloway vs. Aldo 2
3013,David Teymur Drakkar Klose,16 of 81  22 of 82,14 of 31  15 of 15,22 of 25  2 of 3,47 of 132  32 of 88,4 of 4  6 of 11,1 of 1  1 of 1,UFC 218: Holloway vs. Aldo 2
3014,Felice Herrig Cortney Casey,47 of 219  68 of 208,11 of 16  3 of 4,18 of 27  20 of 21,75 of 260  90 of 229,1 of 1  1 of 3,0 of 1  0 of 1,UFC 218: Holloway vs. Aldo 2
3015,Amanda Cooper Angela Magana,34 of 54  3 of 19,6 of 6  6 of 8,0 of 0  3 of 4,4 of 19  10 of 29,2 of 3  1 of 1,34 of 38  1 of 1,UFC 218: Holloway vs. Aldo 2
3016,Sabah Homasi Abdul Razak Alhassan,23 of 42  22 of 55,12 of 14  2 of 2,4 of 4  3 of 4,16 of 33  18 of 48,18 of 22  9 of 13,5 of 5  0 of 0,UFC 218: Holloway vs. Aldo 2
3017,Jeremy Kimball Dominick Reyes,4 of 6  13 of 25,0 of 0  2 of 2,0 of 0  1 of 1,2 of 4  3 of 5,1 of 1  0 of 0,1 of 1  13 of 23,UFC 218: Holloway vs. Aldo 2
3018,Justin Willis Allen Crowder,21 of 43  6 of 29,1 of 1  1 of 1,0 of 0  8 of 8,14 of 25  13 of 31,6 of 17  2 of 7,2 of 2  0 of 0,UFC 218: Holloway vs. Aldo 2
3019,Nicco Montano Roxanne Modafferi,138 of 397  112 of 373,13 of 23  12 of 21,35 of 36  8 of 9,161 of 422  123 of 391,10 of 18  7 of 10,15 of 16  2 of 2,The Ultimate Fighter: A New World Champion Finale
3020,Sean O'Malley Terrion Ware,119 of 224  59 of 241,20 of 26  17 of 27,2 of 2  12 of 20,131 of 241  83 of 271,6 of 7  5 of 17,4 of 4  0 of 0,The Ultimate Fighter: A New World Champion Finale
3021,Barb Honchak Lauren Murphy,55 of 216  49 of 184,3 of 5  2 of 4,13 of 15  8 of 9,71 of 236  59 of 197,0 of 0  0 of 0,0 of 0  0 of 0,The Ultimate Fighter: A New World Champion Finale
3022,Eric Spicely Gerald Meerschaert,15 of 28  30 of 77,2 of 3  6 of 8,0 of 0  0 of 0,11 of 24  33 of 82,1 of 1  1 of 1,5 of 6  2 of 2,The Ultimate Fighter: A New World Champion Finale
3023,DeAnna Bennett Melinda Fabian,25 of 54  34 of 98,16 of 21  12 of 16,6 of 6  3 of 3,27 of 57  32 of 91,19 of 23  17 of 24,1 of 1  0 of 2,The Ultimate Fighter: A New World Champion Finale
3024,DeAnna Bennett Melinda Fabian,25 of 54  34 of 98,16 of 21  12 of 16,6 of 6  3 of 3,27 of 57  32 of 91,19 of 23  17 of 24,1 of 1  0 of 2,The Ultimate Fighter: A New World Champion Finale
3025,Joe Soto Brett Johns,0 of 0  1 of 9,0 of 0  0 of 0,0 of 0  0 of 0,0 of 0  1 of 9,0 of 0  0 of 0,0 of 0  0 of 0,The Ultimate Fighter: A New World Champion Finale
3026,Christina Marks Montana De La Rosa,6 of 13  3 of 13,2 of 2  2 of 3,2 of 2  1 of 1,7 of 12  3 of 10,3 of 4  3 of 7,0 of 1  0 of 0,The Ultimate Fighter: A New World Champion Finale
3027,Andrew Sanchez Ryan Janes,90 of 173  121 of 226,6 of 10  32 of 35,0 of 0  6 of 6,80 of 160  131 of 232,9 of 14  28 of 35,7 of 9  0 of 0,The Ultimate Fighter: A New World Champion Finale
3028,Karine Gevorgyan Rachael Ostovich,2 of 10  1 of 10,0 of 0  0 of 0,0 of 0  2 of 3,2 of 10  3 of 13,0 of 0  0 of 0,0 of 0  0 of 0,The Ultimate Fighter: A New World Champion Finale
3029,Ariel Beck Shana Dobson,8 of 52  19 of 70,16 of 37  9 of 16,11 of 13  6 of 9,34 of 100  31 of 92,1 of 2  3 of 3,0 of 0  0 of 0,The Ultimate Fighter: A New World Champion Finale
3030,Gillian Robertson Emily Whitmire,2 of 6  7 of 13,0 of 0  0 of 0,0 of 0  2 of 2,2 of 6  6 of 12,0 of 0  2 of 2,0 of 0  1 of 1,The Ultimate Fighter: A New World Champion Finale
3031,Michael Bisping Kelvin Gastelum,5 of 22  7 of 19,1 of 1  5 of 6,1 of 1  2 of 2,7 of 24  9 of 20,0 of 0  1 of 1,0 of 0  4 of 6,UFC Fight Night: Bisping vs. Gastelum
3032,Li Jingliang Zak Ottow,15 of 38  2 of 12,1 of 1  0 of 2,10 of 11  3 of 3,17 of 37  5 of 17,0 of 0  0 of 0,9 of 13  0 of 0,UFC Fight Night: Bisping vs. Gastelum
3033,Wang Guan Alex Caceres,30 of 106  22 of 91,11 of 20  21 of 24,30 of 38  6 of 8,61 of 149  43 of 115,2 of 3  6 of 8,8 of 12  0 of 0,UFC Fight Night: Bisping vs. Gastelum
3034,Muslim Salikhov Alex Garcia,4 of 16  6 of 24,3 of 8  0 of 0,3 of 3  0 of 0,10 of 27  4 of 20,0 of 0  0 of 1,0 of 0  2 of 3,UFC Fight Night: Bisping vs. Gastelum
3035,Zabit Magomedsharipov Sheymon Moraes,28 of 57  7 of 17,1 of 6  7 of 9,5 of 7  4 of 5,14 of 37  17 of 30,0 of 0  0 of 0,20 of 33  1 of 1,UFC Fight Night: Bisping vs. Gastelum
3036,Song Kenan Bobby Nash,13 of 13  0 of 2,1 of 1  1 of 1,0 of 0  0 of 0,2 of 2  1 of 3,0 of 0  0 of 0,12 of 12  0 of 0,UFC Fight Night: Bisping vs. Gastelum
3037,Kailin Curran Yan Xiaonan,33 of 110  80 of 191,12 of 16  5 of 7,7 of 8  11 of 13,34 of 106  76 of 183,13 of 17  18 of 24,5 of 11  2 of 4,UFC Fight Night: Bisping vs. Gastelum
3038,Song Yadong Bharat Kandare,6 of 23  1 of 22,1 of 3  0 of 0,1 of 3  2 of 8,7 of 27  3 of 30,0 of 0  0 of 0,1 of 2  0 of 0,UFC Fight Night: Bisping vs. Gastelum
3039,Chase Sherman Shamil Abdurakhimov,4 of 12  5 of 8,0 of 0  1 of 2,1 of 1  0 of 0,5 of 13  6 of 10,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Bisping vs. Gastelum
3040,Wu Yanan Gina Mazany,7 of 30  23 of 46,12 of 15  11 of 14,3 of 6  4 of 5,9 of 34  13 of 33,12 of 16  17 of 23,1 of 1  8 of 9,UFC Fight Night: Bisping vs. Gastelum
3041,Wulijiburen Rolando Dy,11 of 51  11 of 71,3 of 6  10 of 19,3 of 3  5 of 9,14 of 56  16 of 86,3 of 4  5 of 6,0 of 0  5 of 7,UFC Fight Night: Bisping vs. Gastelum
3042,Cyril Asker Hu Yaozong,19 of 33  6 of 15,1 of 2  0 of 0,0 of 0  2 of 3,3 of 17  5 of 14,1 of 2  1 of 2,16 of 16  2 of 2,UFC Fight Night: Bisping vs. Gastelum
3043,Fabricio Werdum Marcin Tybura,104 of 209  83 of 202,32 of 35  13 of 20,19 of 21  31 of 35,137 of 239  118 of 242,15 of 23  8 of 14,3 of 3  1 of 1,UFC Fight Night: Werdum vs. Tybura
3044,Bec Rawlings Jessica-Rose Clark,58 of 130  61 of 126,7 of 14  16 of 22,0 of 1  24 of 26,59 of 139  86 of 158,3 of 3  8 of 9,3 of 3  7 of 7,UFC Fight Night: Werdum vs. Tybura
3045,Tim Means Belal Muhammad,49 of 178  72 of 199,29 of 42  10 of 16,13 of 14  6 of 6,90 of 232  88 of 221,1 of 2  0 of 0,0 of 0  0 of 0,UFC Fight Night: Werdum vs. Tybura
3046,Jake Matthews Bojan Velickovic,18 of 31  20 of 41,1 of 2  2 of 4,1 of 1  2 of 3,11 of 25  9 of 28,1 of 1  9 of 13,8 of 8  6 of 7,UFC Fight Night: Werdum vs. Tybura
3047,Elias Theodorou Daniel Kelly,49 of 144  37 of 112,33 of 54  4 of 7,36 of 52  1 of 1,105 of 235  25 of 89,13 of 15  17 of 31,0 of 0  0 of 0,UFC Fight Night: Werdum vs. Tybura
3048,Alexander Volkanovski Shane Young,36 of 78  11 of 67,11 of 13  5 of 10,21 of 23  2 of 4,40 of 71  15 of 75,14 of 25  3 of 6,14 of 18  0 of 0,UFC Fight Night: Werdum vs. Tybura
3049,Ryan Benoit Ashkan Mokhtarian,40 of 86  20 of 71,4 of 6  11 of 18,1 of 1  11 of 12,40 of 87  41 of 100,1 of 2  1 of 1,4 of 4  0 of 0,UFC Fight Night: Werdum vs. Tybura
3050,Nik Lentz Will Brooks,15 of 58  42 of 70,7 of 9  2 of 2,12 of 15  5 of 6,25 of 71  42 of 70,9 of 11  7 of 8,0 of 0  0 of 0,UFC Fight Night: Werdum vs. Tybura
3051,Rashad Coulter Tai Tuivasa,2 of 11  16 of 29,7 of 7  3 of 4,1 of 1  3 of 3,3 of 10  14 of 25,7 of 7  6 of 9,0 of 2  2 of 2,UFC Fight Night: Werdum vs. Tybura
3052,Damien Brown Frank Camacho,72 of 213  137 of 277,19 of 25  17 of 22,13 of 13  0 of 0,99 of 244  130 of 271,4 of 6  23 of 27,1 of 1  1 of 1,UFC Fight Night: Werdum vs. Tybura
3053,Alex Chambers Nadia Kassem,28 of 47  25 of 65,10 of 11  17 of 27,7 of 12  10 of 13,29 of 51  36 of 83,2 of 5  11 of 14,14 of 14  5 of 8,UFC Fight Night: Werdum vs. Tybura
3054,Jenel Lausa Eric Shelton,4 of 28  71 of 100,0 of 0  11 of 11,1 of 2  4 of 5,2 of 23  16 of 32,0 of 1  0 of 0,3 of 6  70 of 84,UFC Fight Night: Werdum vs. Tybura
3055,Anthony Hamilton Adam Wieczorek,6 of 28  23 of 74,21 of 22  15 of 16,5 of 7  4 of 5,11 of 36  26 of 77,6 of 6  11 of 11,15 of 15  5 of 7,UFC Fight Night: Werdum vs. Tybura
3056,Dustin Poirier Anthony Pettis,47 of 92  29 of 45,5 of 6  3 of 7,1 of 2  2 of 2,25 of 62  23 of 43,8 of 10  1 of 1,20 of 28  10 of 10,UFC Fight Night: Poirier vs. Pettis
3057,Matt Brown Diego Sanchez,14 of 30  7 of 12,2 of 2  2 of 5,2 of 2  3 of 3,12 of 28  10 of 18,6 of 6  2 of 2,0 of 0  0 of 0,UFC Fight Night: Poirier vs. Pettis
3058,Junior Albini Andrei Arlovski,35 of 88  52 of 157,6 of 10  27 of 33,7 of 8  13 of 13,37 of 92  81 of 190,11 of 14  11 of 13,0 of 0  0 of 0,UFC Fight Night: Poirier vs. Pettis
3059,Nate Marquardt Cezar Ferreira,22 of 49  14 of 41,8 of 9  15 of 21,6 of 7  18 of 19,23 of 51  35 of 68,7 of 8  1 of 2,6 of 6  11 of 11,UFC Fight Night: Poirier vs. Pettis
3060,Raphael Assuncao Matthew Lopez,24 of 123  16 of 68,6 of 12  12 of 19,16 of 19  6 of 6,45 of 153  34 of 93,1 of 1  0 of 0,0 of 0  0 of 0,UFC Fight Night: Poirier vs. Pettis
3061,Joe Lauzon Clay Guida,1 of 7  20 of 36,0 of 0  1 of 1,0 of 0  3 of 3,1 of 7  6 of 10,0 of 0  0 of 0,0 of 0  18 of 30,UFC Fight Night: Poirier vs. Pettis
3062,John Dodson Marlon Moraes,24 of 83  21 of 92,15 of 18  15 of 23,4 of 4  9 of 16,40 of 101  45 of 131,2 of 3  0 of 0,1 of 1  0 of 0,UFC Fight Night: Poirier vs. Pettis
3063,Tatiana Suarez Viviane Pereira,45 of 77  10 of 18,14 of 15  2 of 4,12 of 14  1 of 1,11 of 30  7 of 14,3 of 4  2 of 3,57 of 72  4 of 6,UFC Fight Night: Poirier vs. Pettis
3064,Sage Northcutt Michel Quinones,45 of 113  13 of 103,15 of 24  9 of 17,19 of 24  33 of 41,77 of 159  55 of 161,2 of 2  0 of 0,0 of 0  0 of 0,UFC Fight Night: Poirier vs. Pettis
3065,Angela Hill Nina Nunes,68 of 173  81 of 230,18 of 31  23 of 35,21 of 26  39 of 44,99 of 222  135 of 293,8 of 8  7 of 14,0 of 0  1 of 2,UFC Fight Night: Poirier vs. Pettis
3066,Court McGee Sean Strickland,19 of 180  77 of 247,15 of 42  1 of 7,28 of 38  0 of 0,59 of 255  65 of 234,3 of 4  1 of 3,0 of 1  12 of 17,UFC Fight Night: Poirier vs. Pettis
3067,Jake Collier Marcel Fortuna,55 of 199  49 of 122,19 of 26  9 of 15,20 of 22  1 of 3,88 of 235  54 of 132,2 of 7  5 of 7,4 of 5  0 of 1,UFC Fight Night: Poirier vs. Pettis
