,Diff_Kd,Diff_Str,Diff_Td,Diff_Sub,Diff_Head,Diff_Body,Diff_Leg,Diff_Distance,Diff_Clinch,Diff_Ground,Diff_Ctrl,Fighter_1_W
3013,0,-18,0,1,21,-4,1,-8,-2,28,231,1
3014,0,-10,0,2,0,1,9,3,9,-2,164,1
3015,1,-20,-2,0,5,15,0,1,4,15,442,1
3016,0,-27,-3,2,20,0,7,2,-3,28,831,1
3017,0,-47,0,-1,22,19,6,43,4,0,20,1
3018,0,-12,5,0,37,2,-27,9,2,1,-314,1
3019,0,-84,1,0,32,7,45,56,4,24,7,1
3020,-1,-16,4,2,1,16,-1,11,4,1,-106,1
3021,0,-18,0,0,29,3,-14,14,4,0,11,1
3022,0,-8,-5,-1,17,-6,-3,-9,-1,18,474,1
3023,0,-65,-5,0,21,44,0,-5,17,53,681,1
3024,0,-3,-1,0,-3,4,2,2,12,-11,-346,1
3025,0,-10,2,0,2,-4,12,19,0,-9,-66,1
3026,0,9,-2,-3,0,-7,-2,-13,1,3,278,1
3027,0,-15,-5,-2,11,1,3,1,1,13,545,1
3028,0,-43,-1,3,22,10,11,33,1,9,166,1
3029,0,16,-5,-3,-3,-8,-5,-2,-12,-2,562,1
3030,0,-16,-9,2,29,-4,-9,14,-9,11,377,1
3031,-1,6,-3,1,2,-4,-4,-3,-2,-1,133,1
3032,-2,8,-2,0,12,-8,-12,-10,-2,4,146,1
3033,0,-12,-1,1,16,4,-8,8,0,4,39,1
3034,0,-7,-4,-1,-6,4,9,-12,10,9,476,1
3035,0,-50,-1,0,41,10,-1,54,-3,-1,22,1
3036,1,-33,2,0,12,12,9,8,13,12,218,1
3037,0,-26,-3,0,7,23,-4,-15,13,28,648,1
3038,-1,-8,-7,0,9,6,-7,5,-6,9,118,1
3039,0,0,-4,-1,-24,-3,27,-15,7,8,480,1
3040,0,-33,-4,-2,14,15,4,7,14,12,487,1
3041,0,-1,-2,1,6,0,-5,-1,-2,4,170,1
3042,0,24,-5,0,-5,-15,-4,-13,-4,-7,170,1
3043,-1,21,-9,0,-6,-3,-12,-27,3,3,310,1
3044,0,-8,2,5,12,-3,-1,-2,0,10,508,1
3045,0,3,-4,0,4,-19,12,-10,-4,11,213,1
3046,0,-11,-6,1,12,0,-1,-1,1,11,606,1
3047,0,14,0,0,-5,13,-22,-5,-9,0,3,1
3048,0,-33,0,0,30,6,-3,10,6,17,521,1
3049,-1,-16,0,0,17,-10,9,14,1,1,22,1
3050,0,-7,-7,2,0,0,7,-7,-1,15,484,1
3051,0,-4,-7,0,8,-3,-1,-1,-3,8,543,1
3052,0,11,-2,-2,0,-8,-3,-7,-8,4,241,1
3053,0,-41,-3,-2,37,5,-1,3,14,24,588,1
3054,0,-20,-7,-4,13,-3,10,9,0,11,562,1
3055,0,2,-1,0,1,-7,4,6,-6,-2,258,1
3056,0,-28,0,0,17,0,11,13,7,8,135,1
3057,-2,-41,0,0,18,-7,30,34,5,2,-141,1
3058,0,-15,-5,-2,14,5,-4,9,2,4,568,1
3059,0,-18,-3,0,16,-5,7,11,7,0,151,1
3060,0,-16,-6,5,16,-1,1,3,1,12,405,1
3061,0,-20,1,0,-10,-1,31,23,-1,-2,-108,1
3062,0,-15,3,-1,15,2,-2,33,-5,-13,-150,1
3063,0,-19,0,0,30,2,-13,22,-3,0,-17,1
3064,0,-2,-1,0,8,-7,1,-8,9,1,182,1
3065,0,-17,-2,0,12,27,-22,8,6,3,415,1
3066,0,-1,3,0,-4,-2,7,3,0,-2,-64,1
3067,0,-24,-6,2,20,4,0,-1,12,13,400,1
