,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
5152,win,Darren Elkins  Antonio Carvalho,1  0,14  9,0  0,0  0,Featherweight,KO/TKO  Punch,1,3:06,UFC 158: St-Pierre vs Diaz
5153,win,Jordan Mein  Dan Miller,1  0,29  11,0  1,0  1,Welterweight,KO/TKO  Punches,1,4:42,UFC 158: St-Pierre vs Diaz
5154,win,John Makdessi  Daron Cruickshank,0  0,86  51,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC 158: St-Pierre vs Diaz
5155,win,Rick Story  Quinn Mulhern,1  0,20  9,1  0,0  0,Welterweight,KO/TKO  Punch,1,3:05,UFC 158: St-Pierre vs Diaz
5156,win,TJ Dillashaw  Issei Tamura,1  0,30  11,2  0,0  0,Bantamweight,KO/TKO  Kick,2,0:26,UFC 158: St-Pierre vs Diaz
5157,win,George Roop  Reuben Duran,0  0,33  30,2  1,1  0,Bantamweight,U-DEC,3,5:00,UFC 158: St-Pierre vs Diaz
5158,win,Wanderlei Silva  Brian Stann,2  1,43  43,0  0,0  0,Light Heavyweight,KO/TKO  Punch,2,4:08,UFC on FUEL TV: Silva vs. Stann
5159,win,Mark Hunt  Stefan Struve,1  0,47  24,1  0,0  1,Heavyweight,KO/TKO  Punch,3,1:44,UFC on FUEL TV: Silva vs. Stann
5160,win,Diego Sanchez  Takanori Gomi,0  0,65  81,2  0,1  0,Lightweight,S-DEC,3,5:00,UFC on FUEL TV: Silva vs. Stann
5161,win,Yushin Okami  Hector Lombard,0  0,37  45,3  0,0  0,Middleweight,S-DEC,3,5:00,UFC on FUEL TV: Silva vs. Stann
5162,win,Rani Yahya  Mizuto Hirota,0  0,13  4,5  1,1  0,Featherweight,U-DEC,3,5:00,UFC on FUEL TV: Silva vs. Stann
5163,win,Dong Hyun Kim  Siyar Bahadurzada,0  0,23  5,3  0,1  0,Welterweight,U-DEC,3,5:00,UFC on FUEL TV: Silva vs. Stann
5164,win,Brad Tavares  Riki Fukuda,0  0,116  69,0  1,0  0,Middleweight,U-DEC,3,5:00,UFC on FUEL TV: Silva vs. Stann
5165,win,Takeya Mizugaki  Bryan Caraway,0  0,67  37,0  2,0  1,Bantamweight,S-DEC,3,5:00,UFC on FUEL TV: Silva vs. Stann
5166,win,Kazuki Tokudome  Cristiano Marcello,1  0,33  33,2  1,0  0,Lightweight,U-DEC,3,5:00,UFC on FUEL TV: Silva vs. Stann
5167,nc nc,Alex Caceres  Kyung Ho Kang,0  0,30  16,0  5,0  0,Bantamweight,Overturned,3,5:00,UFC on FUEL TV: Silva vs. Stann
5168,win,Hyun Gyu Lim  Marcelo Guimaraes,1  0,62  47,0  2,0  0,Welterweight,KO/TKO  Knee,2,4:00,UFC on FUEL TV: Silva vs. Stann
5169,win,Ronda Rousey  Liz Carmouche,0  0,7  4,1  0,1  1,Women's Bantamweight,SUB  Armbar,1,4:49,UFC 157: Rousey vs Carmouche
5170,win,Lyoto Machida  Dan Henderson,0  0,27  20,1  1,0  0,Light Heavyweight,S-DEC,3,5:00,UFC 157: Rousey vs Carmouche
5171,win,Urijah Faber  Ivan Menjivar,0  0,17  3,0  1,1  0,Bantamweight,SUB  Rear Naked Choke,1,4:34,UFC 157: Rousey vs Carmouche
5172,win,Court McGee  Josh Neer,0  0,166  63,2  0,0  0,Welterweight,U-DEC,3,5:00,UFC 157: Rousey vs Carmouche
5173,win,Robbie Lawler  Josh Koscheck,0  0,9  2,0  2,0  0,Welterweight,KO/TKO  Punches,1,3:57,UFC 157: Rousey vs Carmouche
5174,win,Brendan Schaub  Lavar Johnson,0  0,18  36,5  1,1  0,Heavyweight,U-DEC,3,5:00,UFC 157: Rousey vs Carmouche
5175,win,Michael Chiesa  Anton Kuivanen,0  0,5  18,1  0,2  0,Lightweight,SUB  Rear Naked Choke,2,2:29,UFC 157: Rousey vs Carmouche
5176,win,Dennis Bermudez  Matt Grice,1  1,120  82,0  1,2  0,Featherweight,S-DEC,3,5:00,UFC 157: Rousey vs Carmouche
5177,win,Sam Stout  Caros Fodor,0  0,46  47,1  3,0  0,Lightweight,S-DEC,3,5:00,UFC 157: Rousey vs Carmouche
5178,win,Kenny Robertson  Brock Jardine,0  0,9  1,1  0,2  1,Welterweight,SUB  Suloev Stretch,1,2:57,UFC 157: Rousey vs Carmouche
5179,win,Neil Magny  Jon Manley,0  0,65  17,4  1,0  0,Welterweight,U-DEC,3,5:00,UFC 157: Rousey vs Carmouche
5180,win,Nah-Shon Burrell  Yuri Villefort,0  0,121  48,0  3,1  1,Welterweight,U-DEC,3,5:00,UFC 157: Rousey vs Carmouche
5181,win,Renan Barao  Michael McDonald,0  0,36  26,4  0,1  0,Bantamweight,SUB  Arm Triangle,4,3:57,UFC on FUEL TV: Barao vs McDonald
5182,win,Cub Swanson  Dustin Poirier,0  0,58  58,2  2,0  0,Featherweight,U-DEC,3,5:00,UFC on FUEL TV: Barao vs McDonald
5183,win,Jimi Manuwa  Cyrille Diabate,0  0,18  9,3  0,0  0,Light Heavyweight,KO/TKO,1,5:00,UFC on FUEL TV: Barao vs McDonald
5184,win,Gunnar Nelson  Jorge Santiago,0  0,42  43,2  0,0  0,Welterweight,U-DEC,3,5:00,UFC on FUEL TV: Barao vs McDonald
5185,win,James Te Huna  Ryan Jimmo,0  1,49  34,2  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC on FUEL TV: Barao vs McDonald
5186,nc nc,Che Mills  Matthew Riddle,0  0,28  23,0  5,0  0,Welterweight,Overturned,3,5:00,UFC on FUEL TV: Barao vs McDonald
5187,win,Renee Forte  Terry Etim,1  0,47  13,2  0,0  0,Lightweight,U-DEC,3,5:00,UFC on FUEL TV: Barao vs McDonald
5188,win,Danny Castillo  Paul Sass,0  0,38  4,4  0,0  5,Lightweight,U-DEC,3,5:00,UFC on FUEL TV: Barao vs McDonald
5189,win,Andy Ogle  Josh Grispi,0  0,19  7,2  1,0  2,Featherweight,U-DEC,3,5:00,UFC on FUEL TV: Barao vs McDonald
5190,win,Tom Watson  Stanislav Nedkov,1  0,56  39,0  5,0  0,Middleweight,KO/TKO  Knee,2,4:42,UFC on FUEL TV: Barao vs McDonald
5191,win,Vaughan Lee  Motonobu Tezuka,0  0,20  4,0  1,0  1,Bantamweight,U-DEC,3,5:00,UFC on FUEL TV: Barao vs McDonald
5192,win,Phil Harris  Ulysses Gomez,0  0,33  35,1  0,0  0,Flyweight,U-DEC,3,5:00,UFC on FUEL TV: Barao vs McDonald
5193,win,Jose Aldo  Frankie Edgar,0  0,76  60,0  2,0  0,Featherweight,U-DEC,5,5:00,UFC 156: Aldo vs Edgar
5194,win,Rogerio Nogueira  Rashad Evans,0  0,40  22,0  1,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 156: Aldo vs Edgar
5195,win,Antonio Silva  Alistair Overeem,1  0,21  51,0  1,0  0,Heavyweight,KO/TKO  Punches,3,0:25,UFC 156: Aldo vs Edgar
5196,win,Demian Maia  Jon Fitch,0  0,12  6,7  0,3  1,Welterweight,U-DEC,3,5:00,UFC 156: Aldo vs Edgar
5197,win,Joseph Benavidez  Ian McCall,0  0,57  40,0  1,0  0,Flyweight,U-DEC,3,5:00,UFC 156: Aldo vs Edgar
5198,win,Evan Dunham  Gleison Tibau,0  0,91  37,0  2,0  1,Lightweight,S-DEC,3,5:00,UFC 156: Aldo vs Edgar
5199,win,Tyron Woodley  Jay Hieron,1  0,15  0,0  0,0  0,Welterweight,KO/TKO  Punch,1,0:36,UFC 156: Aldo vs Edgar
5200,win,Bobby Green  Jacob Volkmann,0  0,54  6,1  4,1  0,Lightweight,SUB  Rear Naked Choke,3,4:25,UFC 156: Aldo vs Edgar
5201,win,Isaac Vallie-Flagg  Yves Edwards,0  0,76  58,0  1,0  0,Lightweight,S-DEC,3,5:00,UFC 156: Aldo vs Edgar
5202,win,Dustin Kimura  Chico Camus,0  0,16  23,0  1,5  0,Bantamweight,SUB  Rear Naked Choke,3,1:50,UFC 156: Aldo vs Edgar
5203,win,Francisco Rivera  Edwin Figueroa,1  1,51  24,2  1,0  0,Bantamweight,KO/TKO  Punches,2,4:20,UFC 156: Aldo vs Edgar
5204,win,Demetrious Johnson  John Dodson,0  1,127  57,5  1,0  0,Flyweight,U-DEC,5,5:00,UFC on FOX: Johnson vs Dodson
5205,win,Glover Teixeira  Quinton Jackson,1  0,80  53,5  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC on FOX: Johnson vs Dodson
5206,win,Anthony Pettis  Donald Cerrone,1  0,18  4,0  0,0  0,Lightweight,KO/TKO  Kick,1,2:35,UFC on FOX: Johnson vs Dodson
5207,win,Ricardo Lamas  Erik Koch,0  0,32  14,2  0,0  0,Featherweight,KO/TKO  Elbows,2,2:32,UFC on FOX: Johnson vs Dodson
5208,win,TJ Grant  Matt Wiman,1  0,54  18,0  0,0  0,Lightweight,KO/TKO  Elbows,1,4:51,UFC on FOX: Johnson vs Dodson
5209,win,Clay Guida  Hatsu Hioki,0  0,26  41,3  0,0  1,Featherweight,S-DEC,3,5:00,UFC on FOX: Johnson vs Dodson
5210,win,Pascal Krauss  Mike Stumpf,0  0,163  63,1  2,1  0,Welterweight,U-DEC,3,5:00,UFC on FOX: Johnson vs Dodson
5211,win,Ryan Bader  Vladimir Matyushenko,1  0,3  0,0  0,1  0,Light Heavyweight,SUB  Guillotine Choke,1,0:50,UFC on FOX: Johnson vs Dodson
5212,win,Shawn Jordan  Mike Russow,0  0,42  25,2  1,0  0,Heavyweight,KO/TKO,2,3:48,UFC on FOX: Johnson vs Dodson
5213,win,Rafael Natal  Sean Spencer,0  0,64  12,4  0,4  0,Middleweight,SUB  Arm Triangle,3,2:13,UFC on FOX: Johnson vs Dodson
5214,win,David Mitchell  Simeon Thoresen,0  0,60  49,1  1,2  0,Welterweight,U-DEC,3,5:00,UFC on FOX: Johnson vs Dodson
5215,win,Vitor Belfort  Michael Bisping,1  0,18  14,0  0,0  0,Middleweight,KO/TKO  Kick,2,1:27,UFC on FX: Belfort vs Bisping
5216,win,CB Dollaway  Daniel Sarafian,0  1,62  38,2  0,0  0,Middleweight,S-DEC,3,5:00,UFC on FX: Belfort vs Bisping
5217,win,Gabriel Gonzaga  Ben Rothwell,0  0,17  12,3  0,1  0,Heavyweight,SUB  Guillotine Choke,2,1:01,UFC on FX: Belfort vs Bisping
5218,win,Khabib Nurmagomedov  Thiago Tavares,1  0,22  2,0  0,0  0,Lightweight,KO/TKO  Elbows,1,1:55,UFC on FX: Belfort vs Bisping
5219,win,Godofredo Pepey  Milton Vieira,0  0,36  17,0  5,0  0,Featherweight,S-DEC,3,5:00,UFC on FX: Belfort vs Bisping
5220,win,Ronny Markes  Andrew Craig,0  0,5  20,2  0,2  0,Middleweight,U-DEC,3,5:00,UFC on FX: Belfort vs Bisping
5221,win,Nik Lentz  Diego Nunes,0  0,56  18,10  0,0  0,Featherweight,U-DEC,3,5:00,UFC on FX: Belfort vs Bisping
5222,win,Edson Barboza  Lucas Martins,1  0,26  12,0  0,0  0,Lightweight,KO/TKO  Punches,1,2:38,UFC on FX: Belfort vs Bisping
5223,nc nc,Iuri Alcantara  Pedro Nobre,0  0,20  3,1  0,1  0,Bantamweight,CNC,1,2:11,UFC on FX: Belfort vs Bisping
5224,win,Ildemar Alcantara  Wagner Prado,0  0,24  28,2  0,3  0,Light Heavyweight,SUB  Kneebar,2,2:39,UFC on FX: Belfort vs Bisping
5225,win,Francisco Trinaldo  CJ Keith,0  0,12  3,2  0,1  0,Lightweight,SUB  Arm Triangle,2,1:50,UFC on FX: Belfort vs Bisping
5226,win,Cain Velasquez  Junior Dos Santos,1  0,111  57,11  0,0  0,Heavyweight,U-DEC,5,5:00,UFC 155: Dos Santos vs Velasquez II
5227,win,Jim Miller  Joe Lauzon,0  0,91  35,1  0,2  3,Lightweight,U-DEC,3,5:00,UFC 155: Dos Santos vs Velasquez II
5228,win,Constantinos Philippou  Tim Boetsch,0  1,28  25,0  2,0  0,Middleweight,KO/TKO  Punches,3,2:11,UFC 155: Dos Santos vs Velasquez II
5229,win,Yushin Okami  Alan Belcher,0  0,20  6,1  0,0  2,Middleweight,U-DEC,3,5:00,UFC 155: Dos Santos vs Velasquez II
5230,win,Derek Brunson  Chris Leben,0  0,41  40,4  0,1  0,Middleweight,U-DEC,3,5:00,UFC 155: Dos Santos vs Velasquez II
5231,win,Eddie Wineland  Brad Pickett,1  0,90  67,0  0,0  0,Bantamweight,S-DEC,3,5:00,UFC 155: Dos Santos vs Velasquez II
5232,win,Erik Perez  Byron Bloodworth,1  0,40  8,0  0,0  0,Bantamweight,KO/TKO  Punches,1,3:50,UFC 155: Dos Santos vs Velasquez II
5233,win,Jamie Varner  Melvin Guillard,0  0,32  57,7  0,1  1,Lightweight,S-DEC,3,5:00,UFC 155: Dos Santos vs Velasquez II
5234,win,Myles Jury  Michael Johnson,0  0,56  6,3  0,1  0,Lightweight,U-DEC,3,5:00,UFC 155: Dos Santos vs Velasquez II
5235,win,Todd Duffee  Philip De Fries,1  0,20  7,0  1,0  0,Heavyweight,KO/TKO  Punches,1,2:04,UFC 155: Dos Santos vs Velasquez II
5236,win,Max Holloway  Leonard Garcia,1  0,120  89,0  2,0  0,Featherweight,S-DEC,3,5:00,UFC 155: Dos Santos vs Velasquez II
5237,win,John Moraga  Chris Cariaso,0  0,26  39,2  1,1  0,Flyweight,SUB  Guillotine Choke,3,1:11,UFC 155: Dos Santos vs Velasquez II
5238,win,Roy Nelson  Matt Mitrione,1  0,23  13,0  0,0  0,Heavyweight,KO/TKO  Punch,1,2:58,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
5239,win,Colton Smith  Mike Ricci,0  0,15  9,7  0,1  0,Welterweight,U-DEC,3,5:00,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
5240,win,Pat Barry  Shane del Rosario,1  0,11  14,0  1,0  2,Heavyweight,KO/TKO  Punch,2,0:26,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
5241,win,Dustin Poirier  Jonathan Brookins,0  0,35  26,0  0,1  0,Featherweight,SUB  D'Arce Choke,1,4:15,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
5242,win,Mike Pyle  James Head,1  0,9  13,0  0,0  0,Welterweight,KO/TKO  Knee,1,1:55,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
5243,win,Johnny Bedford  Marcos Vinicius,2  0,34  4,1  0,0  1,Bantamweight,KO/TKO  Punch,2,1:00,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
5244,win,Rustam Khabilov  Vinc Pichel,0  0,13  0,5  0,0  0,Lightweight,KO/TKO  Slam,1,2:15,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
5245,win,TJ Waldburger  Nick Catone,1  0,13  10,1  1,4  0,Welterweight,SUB  Triangle Choke,2,1:04,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
5246,win,Hugo Viana  Reuben Duran,3  0,22  8,0  0,0  0,Bantamweight,KO/TKO  Punch,1,4:05,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
5247,win,Mike Rio  John Cofer,0  0,30  31,4  0,1  0,Lightweight,SUB  Armbar,3,4:11,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
5248,win,Tim Elliott  Jared Papazian,1  0,36  36,7  0,4  0,Flyweight,U-DEC,3,5:00,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
5249,win,Ross Pearson  George Sotiropoulos,2  0,50  34,0  1,0  0,Lightweight,KO/TKO  Punch,3,0:41,UFC on FX: Sotiropoulos vs Pearson
5250,win,Robert Whittaker  Brad Scott,1  0,83  55,0  1,0  0,Welterweight,U-DEC,3,5:00,UFC on FX: Sotiropoulos vs Pearson
5251,win,Norman Parke  Colin Fletcher,0  0,42  56,6  0,0  0,Lightweight,U-DEC,3,5:00,UFC on FX: Sotiropoulos vs Pearson
5252,win,Hector Lombard  Rousimar Palhares,2  0,24  6,0  0,0  0,Middleweight,KO/TKO  Punches,1,3:38,UFC on FX: Sotiropoulos vs Pearson
5253,win,Chad Mendes  Yaotzin Meza,1  0,10  2,0  0,0  0,Featherweight,KO/TKO  Punch,1,1:55,UFC on FX: Sotiropoulos vs Pearson
5254,nc nc,Igor Pokrajac  Joey Beltran,0  0,48  65,0  0,0  0,Light Heavyweight,Overturned,3,5:00,UFC on FX: Sotiropoulos vs Pearson
5255,win,Mike Pierce  Seth Baczynski,0  0,16  34,6  0,0  0,Welterweight,U-DEC,3,5:00,UFC on FX: Sotiropoulos vs Pearson
5256,win,Ben Alloway  Manuel Rodriguez,1  0,16  4,0  3,0  0,Welterweight,KO/TKO  Kick,1,4:57,UFC on FX: Sotiropoulos vs Pearson
5257,win,Mike Wilkinson  Brendan Loughnane,0  1,54  75,1  0,0  0,Lightweight,U-DEC,3,5:00,UFC on FX: Sotiropoulos vs Pearson
5258,win,Cody Donovan  Nick Penner,1  1,19  7,1  0,0  0,Light Heavyweight,KO/TKO  Punch,1,4:35,UFC on FX: Sotiropoulos vs Pearson
5259,win,Benson Henderson  Nate Diaz,1  0,124  30,8  0,0  2,Lightweight,U-DEC,5,5:00,UFC on FOX: Henderson vs Diaz
5260,win,Alexander Gustafsson  Mauricio Rua,0  0,72  41,6  1,0  1,Light Heavyweight,U-DEC,3,5:00,UFC on FOX: Henderson vs Diaz
5261,win,Rory MacDonald  BJ Penn,0  0,116  24,1  0,0  0,Welterweight,U-DEC,3,5:00,UFC on FOX: Henderson vs Diaz
5262,win,Matt Brown  Mike Swick,1  0,25  9,1  0,2  0,Welterweight,KO/TKO  Punches,2,2:31,UFC on FOX: Henderson vs Diaz
5263,win,Yves Edwards  Jeremy Stephens,1  0,8  5,0  0,0  0,Lightweight,KO/TKO  Punch,1,1:55,UFC on FOX: Henderson vs Diaz
5264,win,Raphael Assuncao  Mike Easton,0  0,57  30,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC on FOX: Henderson vs Diaz
5265,win,Ramsey Nijem  Joe Proctor,1  0,49  21,5  0,0  4,Lightweight,U-DEC,3,5:00,UFC on FOX: Henderson vs Diaz
5266,win,Daron Cruickshank  Henry Martinez,1  0,52  21,0  0,0  0,Lightweight,KO/TKO  Kick,2,2:57,UFC on FOX: Henderson vs Diaz
5267,win,Abel Trujillo  Marcus LeVesseur,1  0,57  9,1  2,2  0,Lightweight,KO/TKO  Knees,2,3:56,UFC on FOX: Henderson vs Diaz
5268,win,Dennis Siver  Nam Phan,0  0,128  24,2  0,0  0,Featherweight,U-DEC,3,5:00,UFC on FOX: Henderson vs Diaz
5269,win,Scott Jorgensen  John Albert,0  0,12  5,0  0,1  1,Bantamweight,SUB  Rear Naked Choke,1,4:59,UFC on FOX: Henderson vs Diaz
5270,win,Georges St-Pierre  Carlos Condit,0  1,71  36,7  0,0  0,Welterweight,U-DEC,5,5:00,UFC 154: St-Pierre vs Condit
5271,win,Johny Hendricks  Martin Kampmann,1  0,3  0,0  0,0  0,Welterweight,KO/TKO  Punch,1,0:46,UFC 154: St-Pierre vs Condit
5272,win,Francis Carmont  Tom Lawlor,0  0,34  20,0  2,1  2,Middleweight,S-DEC,3,5:00,UFC 154: St-Pierre vs Condit
5273,win,Rafael Dos Anjos  Mark Bocek,0  0,54  19,4  0,0  1,Lightweight,U-DEC,3,5:00,UFC 154: St-Pierre vs Condit
5274,win,Pablo Garza  Mark Hominick,0  1,83  39,2  1,1  0,Featherweight,U-DEC,3,5:00,UFC 154: St-Pierre vs Condit
5275,win,Patrick Cote  Alessio Sakara,0  1,14  24,0  0,0  0,Middleweight,DQ,1,1:26,UFC 154: St-Pierre vs Condit
5276,win,Cyrille Diabate  Chad Griggs,1  0,6  2,2  1,1  0,Light Heavyweight,SUB  Rear Naked Choke,1,2:24,UFC 154: St-Pierre vs Condit
5277,win,John Makdessi  Sam Stout,0  0,84  63,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC 154: St-Pierre vs Condit
5278,win,Antonio Carvalho  Rodrigo Damm,0  0,48  50,0  0,0  0,Featherweight,S-DEC,3,5:00,UFC 154: St-Pierre vs Condit
5279,win,Matthew Riddle  John Maguire,0  0,45  37,1  0,0  2,Welterweight,U-DEC,3,5:00,UFC 154: St-Pierre vs Condit
5280,win,Ivan Menjivar  Azamat Gashimov,0  0,6  4,0  1,1  0,Bantamweight,SUB  Armbar,1,2:44,UFC 154: St-Pierre vs Condit
5281,win,Darren Elkins  Steven Siler,0  0,44  15,6  0,6  1,Featherweight,U-DEC,3,5:00,UFC 154: St-Pierre vs Condit
5282,win,Cung Le  Rich Franklin,1  0,8  12,0  0,0  0,Middleweight,KO/TKO  Punch,1,2:17,UFC Macao: Franklin vs Le
5283,nc nc,Thiago Silva  Stanislav Nedkov,0  1,62  18,1  0,1  0,Light Heavyweight,Overturned,3,1:45,UFC Macao: Franklin vs Le
5284,win,Dong Hyun Kim  Paulo Thiago,0  0,22  2,3  0,2  0,Welterweight,U-DEC,3,5:00,UFC Macao: Franklin vs Le
5285,win,Takanori Gomi  Mac Danzig,1  0,54  64,1  2,0  1,Lightweight,S-DEC,3,5:00,UFC Macao: Franklin vs Le
5286,win,Jon Tuck  Zhang Tiequan,0  0,36  40,0  2,2  0,Lightweight,U-DEC,3,5:00,UFC Macao: Franklin vs Le
5287,win,Takeya Mizugaki  Jeff Hougland,0  0,63  14,4  1,0  0,Bantamweight,U-DEC,3,5:00,UFC Macao: Franklin vs Le
5288,win,Alex Caceres  Motonobu Tezuka,0  0,64  22,0  2,0  0,Bantamweight,S-DEC,3,5:00,UFC Macao: Franklin vs Le
5289,win,John Lineker  Yasuhiro Urushitani,0  0,77  62,0  0,0  0,Flyweight,U-DEC,3,5:00,UFC Macao: Franklin vs Le
5290,win,Riki Fukuda  Tom DeBlass,0  0,85  44,3  0,0  0,Middleweight,U-DEC,3,5:00,UFC Macao: Franklin vs Le
5291,win,Anderson Silva  Stephan Bonnar,1  0,19  12,0  0,0  0,Light Heavyweight,KO/TKO  Knee,1,4:40,UFC 153: Silva vs Bonnar
5292,win,Antonio Rodrigo Nogueira  Dave Herman,1  0,20  13,1  2,3  0,Heavyweight,SUB  Armbar,2,4:31,UFC 153: Silva vs Bonnar
5293,win,Glover Teixeira  Fabio Maldonado,1  0,85  10,3  0,1  0,Light Heavyweight,KO/TKO,2,5:00,UFC 153: Silva vs Bonnar
5294,win,Jon Fitch  Erick Silva,0  0,82  19,6  2,2  2,Welterweight,U-DEC,3,5:00,UFC 153: Silva vs Bonnar
5295,win,Phil Davis  Wagner Prado,0  0,29  2,5  0,2  0,Light Heavyweight,SUB  Anaconda Choke,2,4:29,UFC 153: Silva vs Bonnar
5296,win,Demian Maia  Rick Story,0  0,5  3,3  0,1  0,Welterweight,SUB  Rear Naked Choke,1,2:30,UFC 153: Silva vs Bonnar
5297,win,Rony Jason  Sam Sicilia,0  0,46  39,1  1,1  0,Featherweight,KO/TKO  Punch,2,4:16,UFC 153: Silva vs Bonnar
5298,win,Gleison Tibau  Francisco Trinaldo,0  1,36  45,5  0,2  2,Lightweight,U-DEC,3,5:00,UFC 153: Silva vs Bonnar
5299,win,Diego Brandao  Joey Gambino,1  0,33  39,3  0,0  1,Featherweight,U-DEC,3,5:00,UFC 153: Silva vs Bonnar
5300,win,Sergio Moraes  Renee Forte,0  0,16  26,4  0,1  0,Welterweight,SUB  Rear Naked Choke,3,3:10,UFC 153: Silva vs Bonnar
5301,win,Chris Camozzi  Luiz Cane,0  0,97  55,0  1,0  1,Middleweight,U-DEC,3,5:00,UFC 153: Silva vs Bonnar
5302,win,Cristiano Marcello  Reza Madadi,0  0,72  77,0  3,0  0,Lightweight,S-DEC,3,5:00,UFC 153: Silva vs Bonnar
5303,win,Antonio Silva  Travis Browne,1  0,15  8,0  0,0  0,Heavyweight,KO/TKO  Punch,1,3:27,UFC on FX: Browne vs Bigfoot
5304,win,Jake Ellenberger  Jay Hieron,0  0,25  32,2  0,0  0,Welterweight,U-DEC,3,5:00,UFC on FX: Browne vs Bigfoot
5305,win,John Dodson  Jussier Formiga,2  0,33  9,0  0,0  0,Flyweight,KO/TKO  Punch,2,4:35,UFC on FX: Browne vs Bigfoot
5306,win,Justin Edwards  Josh Neer,0  0,6  0,0  0,1  0,Welterweight,SUB  Guillotine Choke,1,0:45,UFC on FX: Browne vs Bigfoot
5307,win,Michael Johnson  Danny Castillo,1  1,17  17,0  0,0  1,Lightweight,KO/TKO  Punch,2,1:06,UFC on FX: Browne vs Bigfoot
5308,win,Mike Pierce  Aaron Simpson,1  1,10  28,0  1,0  1,Welterweight,KO/TKO  Punch,2,0:29,UFC on FX: Browne vs Bigfoot
5309,win,Marcus LeVesseur  Carlo Prater,0  0,53  42,3  0,0  3,Lightweight,S-DEC,3,5:00,UFC on FX: Browne vs Bigfoot
5310,win,Jacob Volkmann  Shane Roller,0  0,8  0,1  0,2  0,Lightweight,SUB  Rear Naked Choke,1,2:38,UFC on FX: Browne vs Bigfoot
5311,win,Diego Nunes  Bart Palaszewski,2  0,61  37,3  0,0  2,Featherweight,U-DEC,3,5:00,UFC on FX: Browne vs Bigfoot
5312,win,Darren Uyenoyama  Phil Harris,0  0,7  10,0  2,2  0,Flyweight,SUB  Rear Naked Choke,2,3:38,UFC on FX: Browne vs Bigfoot
5313,win,Stefan Struve  Stipe Miocic,0  0,57  48,0  1,0  0,Heavyweight,KO/TKO  Punches,2,3:50,UFC on FUEL TV: Struve vs Miocic
5314,win,Dan Hardy  Amir Sadollah,0  0,65  61,3  0,0  0,Welterweight,U-DEC,3,5:00,UFC on FUEL TV: Struve vs Miocic
5315,win,Brad Pickett  Yves Jabouin,1  0,14  26,0  0,0  0,Bantamweight,KO/TKO  Punch,1,3:40,UFC on FUEL TV: Struve vs Miocic
5316,win,Matt Wiman  Paul Sass,0  0,3  6,0  1,2  0,Lightweight,SUB  Armbar,1,3:48,UFC on FUEL TV: Struve vs Miocic
5317,win,John Hathaway  John Maguire,0  0,41  13,1  1,0  0,Welterweight,U-DEC,3,5:00,UFC on FUEL TV: Struve vs Miocic
5318,win,Che Mills  Duane Ludwig,0  0,8  2,2  0,0  0,Welterweight,KO/TKO,1,2:28,UFC on FUEL TV: Struve vs Miocic
5319,win,Jimi Manuwa  Kyle Kingsbury,1  0,53  28,0  2,1  0,Light Heavyweight,KO/TKO,2,5:00,UFC on FUEL TV: Struve vs Miocic
5320,win,Akira Corassani  Andy Ogle,0  1,45  52,0  1,0  0,Featherweight,S-DEC,3,5:00,UFC on FUEL TV: Struve vs Miocic
5321,win,Brad Tavares  Tom Watson,0  0,83  65,5  0,0  0,Middleweight,S-DEC,3,5:00,UFC on FUEL TV: Struve vs Miocic
5322,win,Gunnar Nelson  DaMarques Johnson,0  0,9  1,1  0,2  0,Catch Weight,SUB  Rear Naked Choke,1,3:34,UFC on FUEL TV: Struve vs Miocic
5323,win,Robert Peralta  Jason Young,1  0,7  2,0  0,0  0,Featherweight,KO/TKO  Punch,1,0:23,UFC on FUEL TV: Struve vs Miocic
5324,win,Jon Jones  Vitor Belfort,1  0,65  16,1  0,1  1,Light Heavyweight,SUB  Keylock,4,0:54,UFC 152: Jones vs Belfort
5325,win,Demetrious Johnson  Joseph Benavidez,0  0,77  44,5  0,0  2,Flyweight,S-DEC,5,5:00,UFC 152: Jones vs Belfort
5326,win,Michael Bisping  Brian Stann,0  0,64  57,4  0,0  0,Middleweight,U-DEC,3,5:00,UFC 152: Jones vs Belfort
5327,win,Matt Hamill  Roger Hollett,0  0,94  26,6  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 152: Jones vs Belfort
